Label,Volume (unit),Volume (pixel),Mean,SurfaceArea,surfaceAreaPxl,Min,Max,Std Deviation,X,Y,Z,Xmass,Ymass,Zmass,Feret
ObjA-1,19.003,5881,1,133.206,6336,1,1,0,135.695,16.484,6.137,135.695,16.484,6.137,12.232
ObjA-2,0.003,1,2,0.146,6,2,2,NaN,176.000,0.000,0.000,176.000,0.000,0.000,0.000
ObjA-3,0.016,5,3,0.419,20,3,3,0,97.400,2.800,0.000,97.400,2.800,0.000,0.232
ObjA-4,8.902,2755,4,72.456,3320,4,4,0,241.574,22.724,7.694,241.574,22.724,7.694,7.835
ObjA-5,0.003,1,5,0.146,6,5,5,NaN,294.000,3.000,0.000,294.000,3.000,0.000,0.000
ObjA-6,0.003,1,6,0.146,6,6,6,NaN,296.000,3.000,0.000,296.000,3.000,0.000,0.000
ObjA-7,0.036,11,7,1.023,42,7,7,0,320.727,5.273,0.818,320.727,5.273,0.818,0.730
ObjA-8,0.003,1,8,0.146,6,8,8,NaN,13.000,100.000,5.000,13.000,100.000,5.000,0.000
ObjA-9,0.162,50,9,2.946,126,9,9,0,341.100,7.880,1.520,341.100,7.880,1.520,1.324
ObjA-10,0.039,12,10,1.169,48,10,10,0,80.833,106.917,6.667,80.833,106.917,6.667,0.947
ObjA-11,0.074,23,11,1.607,66,11,11,0,93.826,108.739,6.696,93.826,108.739,6.696,0.958
ObjA-12,0.045,14,12,0.943,46,12,12,0,365.500,12.571,0.143,365.500,12.571,0.143,0.420
ObjA-13,0.006,2,13,0.230,10,13,13,0,308.000,12.500,0.000,308.000,12.500,0.000,0.104
ObjA-14,0.003,1,14,0.146,6,14,14,NaN,113.000,119.000,5.000,113.000,119.000,5.000,0.000
ObjA-15,0.003,1,15,0.146,6,15,15,NaN,263.000,14.000,0.000,263.000,14.000,0.000,0.000
ObjA-16,1.616,500,16,17.477,734,16,16,0,201.642,15.782,5.020,201.642,15.782,5.020,3.771
ObjA-17,0.149,46,17,2.756,116,17,17,0,358.109,144.957,6.522,358.109,144.957,6.522,0.975
ObjA-18,2.549,789,18,20.594,910,18,18,0,221.066,23.373,4.710,221.066,23.373,4.710,4.289
