Label;Volume (unit);Volume (pixel);Mean;SurfaceArea;surfaceAreaPxl;Min;Max;Std Deviation;X;Y;Z;Xmass;Ymass;Zmass;Feret
ObjB-1;0,11;34;1;1,82;82;1;1;0;19,471;0,735;0,735;19,471;0,735;0,735;0,8
ObjB-2;0,242;75;2;3,022;152;2;2;0;49,693;1,733;0,48;49,693;1,733;0,48;1,198
ObjB-3;0,162;50;3;1,908;94;3;3;0;69,76;1,76;0,5;69,76;1,76;0,5;0,675
ObjB-4;0,145;45;4;2,299;100;4;4;0;118,778;1,378;0,711;118,778;1,378;0,711;0,82
ObjB-5;0,074;23;5;1,319;62;5;5;0;140,435;0,696;0,435;140,435;0,696;0,435;0,553
ObjB-6;0,204;63;6;2,313;124;6;6;0;157,286;1,984;0,397;157,286;1,984;0,397;0,806
ObjB-7;0,11;34;7;2,033;98;7;7;0;219,382;0,735;0,265;219,382;0,735;0,265;0,907
ObjB-8;0,197;61;8;2,414;122;8;8;0;241,574;1,393;0,443;241,574;1,393;0,443;0,94
ObjB-9;0,236;73;9;3,504;140;9;9;0;279,096;1,027;1,397;279,096;1,027;1,397;1,161
ObjB-10;0,284;88;10;3,24;142;10;10;0;293,761;1,807;1,136;293,761;1,807;1,136;1,119
ObjB-11;0,171;53;11;2,203;110;11;11;0;326,434;2,057;0,528;326,434;2,057;0,528;0,889
ObjB-12;0,048;15;12;1,049;52;12;12;0;348,067;2,2;0,067;348,067;2,2;0,067;0,608
ObjB-13;0,346;107;13;3,834;182;13;13;0;168,131;2,841;0,907;168,131;2,841;0,907;1,171
ObjB-14;0,052;16;14;0,987;50;14;14;0;255,375;3,688;0,125;255,375;3,688;0,125;0,533
ObjB-15;0,255;79;15;2,914;142;15;15;0;333,886;2,354;0,658;333,886;2,354;0,658;0,919
ObjB-16;0,336;104;16;4,061;222;16;16;0;125,058;4,817;0,558;125,058;4,817;0,558;1,199
ObjB-17;0,207;64;17;2,557;124;17;17;0;315,703;4,391;0,781;315,703;4,391;0,781;0,959
ObjB-18;0,139;43;18;2,071;94;18;18;0;148,977;5,116;0,767;148,977;5,116;0,767;0,82
ObjB-19;0,307;95;19;3,578;162;19;19;0;282,316;5,684;1,042;282,316;5,684;1,042;1,119
ObjB-20;0,01;3;20;0,417;16;20;20;0;114,667;5,333;0,333;114,667;5,333;0,333;0,334
ObjB-21;0,12;37;21;1,87;98;21;21;0;143,865;5,514;0,216;143,865;5,514;0,216;0,665
ObjB-22;0,068;21;22;1,341;64;22;22;0;198,952;4,524;0,238;198,952;4,524;0,238;0,608
ObjB-23;0,297;92;23;3,903;196;23;23;0;112,446;7,12;0,533;112,446;7,12;0,533;1,263
ObjB-24;0,216;67;24;2,792;142;24;24;0;204,493;7,03;0,403;204,493;7,03;0,403;0,979
ObjB-25;0,116;36;25;1,769;100;25;25;0;236,139;7,389;0,083;236,139;7,389;0,083;0,837
ObjB-26;0,301;93;26;3,216;170;26;26;0;245,86;6,613;0,452;245,86;6,613;0,452;0,942
ObjB-27;0,136;42;27;1,741;86;27;27;0;300,714;7,429;0,452;300,714;7,429;0,452;0,675
ObjB-28;0,074;23;28;2;76;28;28;0;172,696;8,174;0,87;172,696;8,174;0,87;0,871
ObjB-29;0,365;113;29;4,387;222;29;29;0;351,009;8;0,593;351,009;8;0,593;1,398
ObjB-30;0,113;35;30;1,626;98;30;30;0;88,057;9,971;0;88,057;9,971;0;0,748
ObjB-31;0,333;103;31;3,285;184;31;31;0;98,495;9,437;0,417;98,495;9,437;0,417;1,024
ObjB-32;0,194;60;32;2,747;134;32;32;0;185,15;10,367;0,45;185,15;10,367;0,45;0,889
ObjB-33;0,065;20;33;1,054;60;33;33;0;142,65;11,15;0;142,65;11,15;0;0,519
ObjB-34;0,116;36;34;2,917;112;34;34;0;172,611;10,389;0,861;172,611;10,389;0,861;1,294
ObjB-35;0,032;10;35;0,651;34;35;35;0;306,8;12,7;0;306,8;12,7;0;0,374
ObjB-36;0,362;112;36;3,819;192;36;36;0;22,75;14,5;0,696;22,75;14,5;0,696;1,105
ObjB-37;0,475;147;37;5,067;270;37;37;0;71,857;13,245;0,81;71,857;13,245;0,81;1,562
ObjB-38;0,385;119;38;4,238;212;38;38;0;170,084;14,345;0,672;170,084;14,345;0,672;1,298
ObjB-39;0,262;81;39;2,818;152;39;39;0;210,988;13,247;0,519;210,988;13,247;0,519;0,93
ObjB-40;0,704;218;40;5,989;314;40;40;0;9,142;13,284;0,775;9,142;13,284;0,775;1,491
ObjB-41;0,485;150;41;4,3;248;41;41;0;37,313;14,827;0,46;37,313;14,827;0,46;1,162
ObjB-42;0,068;21;42;1,319;62;42;42;0;365,381;16,762;0,286;365,381;16,762;0,286;0,699
ObjB-43;0,184;57;43;2,498;126;43;43;0;117,211;17,211;0,386;117,211;17,211;0,386;0,837
ObjB-44;0,132;41;44;2,007;88;44;44;0;191,805;17;0,78;191,805;17;0,78;0,759
ObjB-45;0,617;191;45;5,12;256;45;45;0;252,288;16,246;0,948;252,288;16,246;0,948;1,199
ObjB-46;0,2;62;46;2,356;128;46;46;0;126,887;18,226;0,355;126,887;18,226;0,355;0,806
ObjB-47;0,097;30;47;1,569;70;47;47;0;195,9;17,433;0,633;195,9;17,433;0,633;0,82
ObjB-48;0,181;56;48;2,485;140;48;48;0;296,804;17,554;0,179;296,804;17,554;0,179;0,79
