Label,Volume (unit),Volume (pixel),Mean,SurfaceArea,surfaceAreaPxl,Min,Max,Std Deviation,X,Y,Z,Xmass,Ymass,Zmass,Feret
ObjA-1,0.272108,76,1,3.427384,144,1,1,0,331.315789,154.710526,5.302632,331.315789,154.710526,5.302632,1.118740
ObjA-2,1927.942243,538475,2,7106.511915,311650,2,2,0,167.152926,190.847057,6.650912,167.152926,190.847057,6.650912,53.011505
ObjA-3,0.035804,10,3,0.929783,36,3,3,0,285.200000,129.200000,2.200000,285.200000,129.200000,2.200000,0.647822
ObjA-4,0.085929,24,4,1.656863,62,4,4,0,242.291667,324.875000,10.375000,242.291667,324.875000,10.375000,0.926142
ObjA-5,112.821186,31511,5,581.463518,24670,5,5,0,338.032782,91.550697,6.831646,338.032782,91.550697,6.831646,18.574511
ObjA-6,0.003580,1,6,0.154964,6,6,6,NaN,115.000000,184.000000,4.000000,115.000000,184.000000,4.000000,0.000000
ObjA-7,1.335480,373,7,12.617614,488,7,7,0,345.160858,16.426273,4.176944,345.160858,16.426273,4.176944,2.912638
ObjA-8,11.840299,3307,8,64.480026,2616,8,8,0,6.967947,28.185969,5.359843,6.967947,28.185969,5.359843,5.666158
ObjA-9,0.050125,14,9,1.299197,46,9,9,0,365.928571,367.928571,10.571429,365.928571,367.928571,10.571429,0.932563
ObjA-10,0.128893,36,10,2.717741,102,10,10,0,125.833333,240.500000,7.027778,125.833333,240.500000,7.027778,1.865125
ObjA-11,0.597923,167,11,7.056726,270,11,11,0,221.922156,27.233533,3.646707,221.922156,27.233533,3.646707,2.973465
ObjA-12,6.086637,1700,12,34.644738,1506,12,12,0,265.596471,236.292353,7.818824,265.596471,236.292353,7.818824,4.030959
ObjA-13,0.114572,32,13,1.776209,72,13,13,0,227.593750,36.093750,10.937500,227.593750,36.093750,10.937500,0.692348
ObjA-14,0.003580,1,14,0.154964,6,14,14,NaN,310.000000,25.000000,0.000000,310.000000,25.000000,0.000000,0.000000
ObjA-15,0.146795,41,15,2.110006,86,15,15,0,285.097561,238.560976,2.975610,285.097561,238.560976,2.975610,0.964026
