Label;Volume (unit);Volume (pixel);Mean;SurfaceArea;surfaceAreaPxl;Min;Max;Std Deviation;X;Y;Z;Xmass;Ymass;Zmass;Feret
ObjB-1;0,150376;42;1;2,366506;104;1;1;0;21,809524;0,97619;0,547619;21,809524;0,97619;0,547619;1,07894
ObjB-2;0,336555;94;2;3,76118;158;2;2;0;37,148936;1,244681;1,223404;37,148936;1,244681;1,223404;1,172365
ObjB-3;0,121733;34;3;1,823947;76;3;3;0;108,235294;0,970588;0,676471;108,235294;0,970588;0,676471;0,717739
ObjB-4;0,19334;54;4;2,372567;108;4;4;0;201,12963;1,222222;0,518519;201,12963;1,222222;0,518519;0,980421
ObjB-5;0,182599;51;5;2,449863;104;5;5;0;309,098039;0,980392;0,843137;309,098039;0,980392;0,843137;0,840299
ObjB-6;0,085929;24;6;1,472342;64;6;6;0;325,833333;0,916667;0,375;325,833333;0,916667;0,375;0,573316
ObjB-7;0,225564;63;7;2,825709;132;7;7;0;364,904762;1,952381;0,52381;364,904762;1,952381;0,52381;0,947131
ObjB-8;0,583601;163;8;5,031563;240;8;8;0;189,680982;2,91411;0,840491;189,680982;2,91411;0,840491;1,320762
ObjB-9;0,19334;54;9;2,51541;106;9;9;0;213,351852;1,055556;0,814815;213,351852;1,055556;0,814815;0,840299
ObjB-10;0,29001;81;10;3,654327;170;10;10;0;287,777778;2,098765;0,54321;287,777778;2,098765;0,54321;1,172365
ObjB-11;0,436806;122;11;4,614039;212;11;11;0;129,188525;3,204918;0,672131;129,188525;3,204918;0,672131;1,325272
ObjB-12;0,501252;140;12;5,085733;262;12;12;0;232,164286;2,871429;0,471429;232,164286;2,871429;0,471429;1,4859
ObjB-13;0,014321;4;13;0,464891;18;13;13;0;253,25;2,5;0,25;253,25;2,5;0,25;0,337445
ObjB-14;0,204081;57;14;2,265341;106;14;14;0;114,649123;2,754386;0,491228;114,649123;2,754386;0,491228;0,791869
ObjB-15;0,401002;112;15;4,27987;184;15;15;0;281,125;3,696429;0,982143;281,125;3,696429;0,982143;1,196076
ObjB-16;0,254207;71;16;3,016291;134;16;16;0;14,816901;5,774648;0,732394;14,816901;5,774648;0,732394;0,921584
ObjB-17;0,680271;190;17;6,026522;264;17;17;0;140,484211;4,289474;1,084211;140,484211;4,289474;1,084211;1,406979
ObjB-18;0,7662;214;18;6,747542;286;18;18;0;150,163551;6,64486;1,331776;150,163551;6,64486;1,331776;1,587501
ObjB-19;0,454708;127;19;4,244624;202;19;19;0;74,314961;5,897638;0,685039;74,314961;5,897638;0,685039;1,172365
ObjB-20;0,325814;91;20;3,112139;156;20;20;0;199,021978;7,648352;0,472527;199,021978;7,648352;0,472527;1,022138
ObjB-21;0,171858;48;21;2,425994;102;21;21;0;221,833333;8,583333;0,6875;221,833333;8,583333;0,6875;0,921584
ObjB-22;0,440386;123;22;4,542431;206;22;22;0;276,349593;10,853659;0,845528;276,349593;10,853659;0,845528;1,251157
ObjB-23;0,275689;77;23;3,135637;144;23;23;0;309,051948;11,025974;0,714286;309,051948;11,025974;0,714286;1,065715
ObjB-24;0,583601;163;24;5,687408;274;24;24;0;267,306748;13,895706;0,699387;267,306748;13,895706;0,699387;1,515882
ObjB-25;0,47619;133;25;4,655717;212;25;25;0;32,180451;13,165414;0,804511;32,180451;13,165414;0,804511;1,313407
ObjB-26;0,422484;118;26;4,930026;228;26;26;0;122,237288;13,288136;0,601695;122,237288;13,288136;0,601695;1,462277
ObjB-27;0,443966;124;27;4,637536;200;27;27;0;329,580645;13,306452;1,201613;329,580645;13,306452;1,201613;1,500517
ObjB-28;0,3831;107;28;3,690316;180;28;28;0;58,691589;16,560748;0,53271;58,691589;16,560748;0,53271;1,109606
ObjB-29;0,068027;19;29;1,234022;58;29;29;0;143,315789;16,210526;0,157895;143,315789;16,210526;0,157895;0,488561
