Label;Volume (unit);Volume (pixel);Mean;SurfaceArea;surfaceAreaPxl;Min;Max;Std Deviation;X;Y;Z;Xmass;Ymass;Zmass;Feret
ObjB-1;0.09309;26;1;1.579567;66;1;1;0;45.423077;0.538462;0.461538;45.423077;0.538462;0.461538;0.729095
ObjB-2;0.118152;33;2;2.014529;78;2;2;0;54.545455;0.848485;1.090909;54.545455;0.848485;1.090909;0.964026
ObjB-3;0.103831;29;3;1.698913;76;3;3;0;131.931034;0.758621;0.344828;131.931034;0.758621;0.344828;0.729095
ObjB-4;0.09667;27;4;1.680732;64;4;4;0;193.555556;0.407407;0.888889;193.555556;0.407407;0.888889;0.750259
ObjB-5;0.268528;75;5;3.409203;132;5;5;0;263.346667;1.693333;1.746667;263.346667;1.693333;1.746667;1.31847
ObjB-6;0.071607;20;6;1.204092;52;6;6;0;274.5;0.5;0.4;274.5;0.5;0.4;0.557045
ObjB-7;0.229144;64;7;3.069718;128;7;7;0;347.75;0.859375;0.765625;347.75;0.859375;0.765625;1.109606
ObjB-8;0.171858;48;8;2.569209;114;8;8;0;120.4375;2.020833;0.645833;120.4375;2.020833;0.645833;0.773752
ObjB-9;0.153956;43;9;2.03877;94;9;9;0;299.465116;1.627907;0.418605;299.465116;1.627907;0.418605;0.686955
ObjB-10;0.10025;28;10;1.454904;80;10;10;0;360.821429;1.714286;0;360.821429;1.714286;0;0.732841
ObjB-11;0.393841;110;11;4.357538;194;11;11;0;246.254545;2.654545;0.818182;246.254545;2.654545;0.818182;1.197544
ObjB-12;0.150376;42;12;2.307391;120;12;12;0;289.571429;3.52381;0.095238;289.571429;3.52381;0.095238;0.853235
ObjB-13;0.107411;30;13;1.52008;68;13;13;0;64.4;3.233333;0.533333;64.4;3.233333;0.533333;0.573316
ObjB-14;0.157536;44;14;2.128186;98;14;14;0;188.227273;2.772727;0.409091;188.227273;2.772727;0.409091;0.729095
ObjB-15;0.354457;99;15;3.875581;206;15;15;0;257.40404;3.878788;0.30303;257.40404;3.878788;0.30303;1.164073
ObjB-16;0.247046;69;16;2.784031;132;16;16;0;306.507246;2.695652;0.463768;306.507246;2.695652;0.463768;0.986488
ObjB-17;0.300751;84;17;3.689201;138;17;17;0;193.142857;4.702381;27395;193.142857;4.702381;27395;1.59636
ObjB-18;0.229144;64;18;2.784031;132;18;18;0;279.34375;5.734375;0.421875;279.34375;5.734375;0.421875;0.949501
ObjB-19;0.354457;99;19;3.654327;170;19;19;0;324.222222;4.212121;0.676768;324.222222;4.212121;0.676768;0.990252
ObjB-20;0.304332;85;20;2.927246;144;20;20;0;28.352941;3.176471;0.494118;28.352941;3.176471;0.494118;0.986488
ObjB-21;0.279269;78;21;3.296661;154;21;21;0;110.653846;4.807692;0.525641;110.653846;4.807692;0.525641;1.11497
ObjB-22;0.19334;54;22;2.610887;114;22;22;0;126.666667;7.12963;0.925926;126.666667;7.12963;0.925926;0.86134
ObjB-23;0.221983;62;23;2.926874;130;23;23;0;170.241935;6.467742;0.548387;170.241935;6.467742;0.548387;0.875086
ObjB-24;0.583601;163;24;5.263823;242;24;24;0;235.349693;5.588957;0.944785;235.349693;5.588957;0.944785;1.320762
