Label;Volume (unit);Volume (pixel);Mean;SurfaceArea;surfaceAreaPxl;Min;Max;Std Deviation;X;Y;Z;Xmass;Ymass;Zmass;Feret
ObjB-1;0,10025;28;1;1,794018;70;1;1;0;39,392857;0,571429;0,785714;39,392857;0,571429;0,785714;0,742262
ObjB-2;0,107411;30;2;1,830008;80;2;2;0;119,933333;1,333333;0,466667;119,933333;1,333333;0,466667;0,811397
ObjB-3;0,042964;12;3;1,102555;40;3;3;0;304,916667;0;0,75;304,916667;0;0,75;0,683675
ObjB-4;0,035804;10;4;0,798688;32;4;4;0;269,3;0,7;0,4;269,3;0,7;0,4;0,386876
ObjB-5;0,107411;30;5;1,537889;66;5;5;0;18,133333;2,533333;0,5;18,133333;2,533333;0,5;0,541191
ObjB-6;0,114572;32;6;1,788329;80;6;6;0;111,96875;1,65625;0,4375;111,96875;1,65625;0,4375;0,717739
ObjB-7;0,075188;21;7;1,227961;54;7;7;0;252,285714;2,190476;0,380952;252,285714;2,190476;0,380952;0,495126
ObjB-8;0,050125;14;8;0,935843;40;8;8;0;266,142857;1,928571;0,357143;266,142857;1,928571;0,357143;0,43067
ObjB-9;0,28643;80;9;3,123516;136;9;9;0;81,2875;3,0875;0,8625;81,2875;3,0875;0,8625;0,990252
ObjB-10;0,125313;35;10;1,913364;80;10;10;0;183,542857;3,485714;0,657143;183,542857;3,485714;0,657143;0,811397
ObjB-11;0,157536;44;11;2,414245;108;11;11;0;198,477273;3,431818;0,386364;198,477273;3,431818;0,386364;0,821459
ObjB-12;0,221983;62;12;3,206501;122;12;12;0;36,177419;4,016129;1,467742;36,177419;4,016129;1,467742;1,295643
ObjB-13;0,157536;44;13;2,169865;98;13;13;0;45,659091;4,613636;0,431818;45,659091;4,613636;0,431818;0,761129
ObjB-14;0,136054;38;14;1,961102;84;14;14;0;136,5;5,473684;0,605263;136,5;5,473684;0,605263;0,773752
ObjB-15;0,168278;47;15;2,205482;94;15;15;0;231,12766;4,829787;0,723404;231,12766;4,829787;0,723404;0,773752
ObjB-16;0,587181;164;16;5,173663;210;16;16;0;322,371951;5,262195;1,676829;322,371951;5,262195;1,676829;1,384696
ObjB-17;0,76262;213;17;6,634256;280;17;17;0;65,751174;6,389671;1,464789;65,751174;6,389671;1,464789;1,520271
ObjB-18;0,132474;37;18;2,00278;84;18;18;0;40,945946;8,189189;0,621622;40,945946;8,189189;0,621622;0,75817
ObjB-19;0,103831;29;19;1,585627;70;19;19;0;93,758621;9;0,413793;93,758621;9;0,413793;0,573316
ObjB-20;0,76262;213;20;6,182972;326;20;20;0;165,525822;7,723005;0,615023;165,525822;7,723005;0,615023;1,455637
ObjB-21;0,225564;63;21;2,622635;108;21;21;0;343,571429;10,206349;0,952381;343,571429;10,206349;0,952381;0,875086
ObjB-22;0,239885;67;22;2,962492;126;22;22;0;195,686567;9,701493;0,850746;195,686567;9,701493;0,850746;0,921584
ObjB-23;0,053706;15;23;1,03132;48;23;23;0;50,6;10,666667;0,133333;50,6;10,666667;0,133333;0,39389
ObjB-24;0,218403;61;24;2,837458;126;24;24;0;149,57377;12,04918;0,557377;149,57377;12,04918;0,557377;0,850019
