Label,Volume (unit),Volume (pixel),Mean,SurfaceArea,surfaceAreaPxl,Min,Max,Std Deviation,X,Y,Z,Xmass,Ymass,Zmass,Feret
ObjA-1,2454.511524,685546,1,11975.000327,515304,1,1,0,200.895669,210.126607,5.652656,200.895669,210.126607,5.652656,53.972389
ObjA-2,0.003580,1,2,0.154964,6,2,2,NaN,143.000000,0.000000,0.000000,143.000000,0.000000,0.000000,0.000000
ObjA-3,0.003580,1,3,0.154964,6,3,3,NaN,20.000000,198.000000,12.000000,20.000000,198.000000,12.000000,0.000000
ObjA-4,0.171858,48,4,2.568837,100,4,4,0,108.041667,92.354167,7.104167,108.041667,92.354167,7.104167,1.248738
ObjA-5,0.003580,1,5,0.154964,6,5,5,NaN,19.000000,200.000000,12.000000,19.000000,200.000000,12.000000,0.000000
ObjA-6,0.017902,5,6,0.512630,22,6,6,0,21.600000,201.000000,12.000000,21.600000,201.000000,12.000000,0.244280
ObjA-7,0.003580,1,7,0.154964,6,7,7,NaN,221.000000,205.000000,12.000000,221.000000,205.000000,12.000000,0.000000
ObjA-8,3.068381,857,8,31.310973,1300,8,8,0,289.719953,6.357060,2.739790,289.719953,6.357060,2.739790,4.253049
ObjA-9,0.003580,1,9,0.154964,6,9,9,NaN,26.000000,206.000000,12.000000,26.000000,206.000000,12.000000,0.000000
ObjA-10,0.347296,97,10,5.298326,196,10,10,0,307.886598,0.680412,3.463918,307.886598,0.680412,3.463918,2.169877
ObjA-11,0.164697,46,11,3.009859,116,11,11,0,115.239130,103.586957,7.043478,115.239130,103.586957,7.043478,1.281752
ObjA-12,0.003580,1,12,0.154964,6,12,12,NaN,3.000000,209.000000,12.000000,3.000000,209.000000,12.000000,0.000000
ObjA-13,7.182232,2006,13,58.095467,2322,13,13,0,342.737288,3.387338,6.967597,342.737288,3.387338,6.967597,6.911814
ObjA-14,0.017902,5,14,0.447082,20,14,14,0,205.800000,211.600000,12.000000,205.800000,211.600000,12.000000,0.244280
ObjA-15,0.017902,5,15,0.447082,20,15,15,0,12.200000,221.400000,12.000000,12.200000,221.400000,12.000000,0.244280
ObjA-16,0.025063,7,16,0.691463,30,16,16,0,362.428571,1.142857,0.000000,362.428571,1.142857,0.000000,0.345465
ObjA-17,0.082349,23,17,1.406794,62,17,17,0,90.521739,327.000000,0.347826,90.521739,327.000000,0.347826,0.541191
ObjA-18,0.003580,1,18,0.154964,6,18,18,NaN,81.000000,230.000000,12.000000,81.000000,230.000000,12.000000,0.000000
ObjA-19,0.003580,1,19,0.154964,6,19,19,NaN,331.000000,234.000000,12.000000,331.000000,234.000000,12.000000,0.000000
ObjA-20,0.010741,3,20,0.333797,14,20,20,0,358.000000,242.000000,12.000000,358.000000,242.000000,12.000000,0.218491
ObjA-21,0.007161,2,21,0.244380,10,21,21,0,5.500000,258.000000,12.000000,5.500000,258.000000,12.000000,0.109246
ObjA-22,0.010741,3,22,0.333797,14,22,22,0,132.666667,269.333333,12.000000,132.666667,269.333333,12.000000,0.154496
ObjA-23,0.275689,77,23,4.398845,180,23,23,0,15.155844,331.181818,0.974026,15.155844,331.181818,0.974026,1.254517
ObjA-24,0.014321,4,24,0.357666,16,24,24,0,243.500000,269.500000,12.000000,243.500000,269.500000,12.000000,0.154496
ObjA-25,0.479770,134,25,6.365264,240,25,25,0,353.455224,128.738806,8.671642,353.455224,128.738806,8.671642,2.180849
ObjA-26,0.017902,5,26,0.512630,22,26,26,0,11.800000,273.800000,12.000000,11.800000,273.800000,12.000000,0.308993
ObjA-27,0.182599,51,27,3.480811,138,27,27,0,103.529412,132.882353,6.294118,103.529412,132.882353,6.294118,1.439629
ObjA-28,0.003580,1,28,0.154964,6,28,28,NaN,258.000000,279.000000,12.000000,258.000000,279.000000,12.000000,0.000000
ObjA-29,1.704258,476,29,17.583258,712,29,29,0,65.911765,7.823529,3.802521,65.911765,7.823529,3.802521,3.019270
ObjA-30,0.003580,1,30,0.154964,6,30,30,NaN,263.000000,280.000000,12.000000,263.000000,280.000000,12.000000,0.000000
ObjA-31,0.003580,1,31,0.154964,6,31,31,NaN,277.000000,4.000000,0.000000,277.000000,4.000000,0.000000,0.000000
ObjA-32,0.003580,1,32,0.154964,6,32,32,NaN,307.000000,280.000000,12.000000,307.000000,280.000000,12.000000,0.000000
ObjA-33,0.003580,1,33,0.154964,6,33,33,NaN,82.000000,287.000000,12.000000,82.000000,287.000000,12.000000,0.000000
ObjA-34,0.003580,1,34,0.154964,6,34,34,NaN,54.000000,290.000000,12.000000,54.000000,290.000000,12.000000,0.000000
ObjA-35,0.003580,1,35,0.154964,6,35,35,NaN,118.000000,296.000000,12.000000,118.000000,296.000000,12.000000,0.000000
ObjA-36,0.003580,1,36,0.154964,6,36,36,NaN,341.000000,299.000000,12.000000,341.000000,299.000000,12.000000,0.000000
ObjA-37,0.003580,1,37,0.154964,6,37,37,NaN,4.000000,331.000000,0.000000,4.000000,331.000000,0.000000,0.000000
ObjA-38,0.003580,1,38,0.154964,6,38,38,NaN,230.000000,300.000000,12.000000,230.000000,300.000000,12.000000,0.000000
ObjA-39,0.003580,1,39,0.154964,6,39,39,NaN,218.000000,302.000000,12.000000,218.000000,302.000000,12.000000,0.000000
ObjA-40,0.991764,277,40,9.334560,398,40,40,0,13.223827,14.653430,2.465704,13.223827,14.653430,2.465704,2.240146
ObjA-41,0.003580,1,41,0.154964,6,41,41,NaN,144.000000,323.000000,12.000000,144.000000,323.000000,12.000000,0.000000
ObjA-42,0.007161,2,42,0.244380,10,42,42,0,145.000000,344.500000,12.000000,145.000000,344.500000,12.000000,0.109246
ObjA-43,0.003580,1,43,0.154964,6,43,43,NaN,111.000000,348.000000,12.000000,111.000000,348.000000,12.000000,0.000000
ObjA-44,0.014321,4,44,0.488761,20,44,44,0,115.250000,350.000000,12.000000,115.250000,350.000000,12.000000,0.308993
ObjA-45,0.179019,50,45,2.271030,96,45,45,0,250.580000,334.880000,0.840000,250.580000,334.880000,0.840000,0.773752
ObjA-46,0.372359,104,46,4.684531,176,46,46,0,1.201923,335.298077,2.961538,1.201923,335.298077,2.961538,1.816500
ObjA-47,0.010741,3,47,0.333797,14,47,47,0,203.000000,166.000000,5.000000,203.000000,166.000000,5.000000,0.218491
ObjA-48,0.003580,1,48,0.154964,6,48,48,NaN,120.000000,354.000000,12.000000,120.000000,354.000000,12.000000,0.000000
ObjA-49,0.003580,1,49,0.154964,6,49,49,NaN,90.000000,358.000000,12.000000,90.000000,358.000000,12.000000,0.000000
ObjA-50,0.003580,1,50,0.154964,6,50,50,NaN,146.000000,336.000000,0.000000,146.000000,336.000000,0.000000,0.000000
ObjA-51,0.007161,2,51,0.244380,10,51,51,0,327.500000,359.000000,12.000000,327.500000,359.000000,12.000000,0.109246
ObjA-52,0.003580,1,52,0.154964,6,52,52,NaN,65.000000,364.000000,12.000000,65.000000,364.000000,12.000000,0.000000
ObjA-53,0.003580,1,53,0.154964,6,53,53,NaN,305.000000,13.000000,0.000000,305.000000,13.000000,0.000000,0.000000
ObjA-54,0.068027,19,54,1.090807,46,54,54,0,208.894737,339.000000,0.473684,208.894737,339.000000,0.473684,0.457543
ObjA-55,0.497672,139,55,7.837977,318,55,55,0,338.431655,14.417266,1.892086,338.431655,14.417266,1.892086,2.407158
ObjA-56,0.021482,6,56,0.602046,26,56,56,0,128.833333,15.500000,0.000000,128.833333,15.500000,0.000000,0.345465
ObjA-57,0.003580,1,57,0.154964,6,57,57,NaN,27.000000,339.000000,0.000000,27.000000,339.000000,0.000000,0.000000
ObjA-58,0.003580,1,58,0.154964,6,58,58,NaN,157.000000,339.000000,0.000000,157.000000,339.000000,0.000000,0.000000
ObjA-59,0.003580,1,59,0.154964,6,59,59,NaN,159.000000,339.000000,0.000000,159.000000,339.000000,0.000000,0.000000
ObjA-60,0.003580,1,60,0.154964,6,60,60,NaN,68.000000,340.000000,0.000000,68.000000,340.000000,0.000000,0.000000
ObjA-61,0.007161,2,61,0.309928,12,61,61,0,60.000000,202.500000,5.500000,60.000000,202.500000,5.500000,0.319272
ObjA-62,0.010741,3,62,0.441022,16,62,62,0,70.666667,341.333333,0.666667,70.666667,341.333333,0.666667,0.337445
ObjA-63,0.071607,20,63,1.382925,60,63,63,0,0.850000,344.450000,0.300000,0.850000,344.450000,0.300000,0.588305
ObjA-64,0.032223,9,64,0.798688,32,64,64,0,263.000000,19.000000,0.333333,263.000000,19.000000,0.333333,0.386876
ObjA-65,0.153956,43,65,2.455551,94,65,65,0,39.720930,218.116279,7.209302,39.720930,218.116279,7.209302,1.219729
ObjA-66,0.003580,1,66,0.154964,6,66,66,NaN,280.000000,19.000000,0.000000,280.000000,19.000000,0.000000,0.000000
ObjA-67,0.060866,17,67,1.126796,56,67,67,0,330.352941,21.058824,0.000000,330.352941,21.058824,0.000000,0.588305
ObjA-68,0.096670,27,68,1.758400,74,68,68,0,336.703704,20.629630,0.555556,336.703704,20.629630,0.555556,0.717739
ObjA-69,0.025063,7,69,0.625915,28,69,69,0,256.857143,21.571429,0.000000,256.857143,21.571429,0.000000,0.327737
ObjA-70,1.915500,535,70,27.435392,1094,70,70,0,356.242991,17.056075,8.285981,356.242991,17.056075,8.285981,4.284207
ObjA-71,0.010741,3,71,0.333797,14,71,71,0,273.666667,347.333333,0.000000,273.666667,347.333333,0.000000,0.154496
ObjA-72,0.118152,33,72,1.967162,88,72,72,0,132.090909,351.030303,0.393939,132.090909,351.030303,0.393939,0.828691
ObjA-73,0.017902,5,73,0.643724,26,73,73,0,319.600000,20.600000,1.000000,319.600000,20.600000,1.000000,0.692348
ObjA-74,0.955960,267,74,9.638055,392,74,74,0,6.554307,29.479401,2.655431,6.554307,29.479401,2.655431,2.298091
ObjA-75,0.100250,28,75,2.223291,92,75,75,0,16.464286,24.035714,1.142857,16.464286,24.035714,1.142857,1.134629
ObjA-76,0.057286,16,76,1.102927,54,76,76,0,343.562500,26.750000,0.000000,343.562500,26.750000,0.000000,0.546228
ObjA-77,0.007161,2,77,0.244380,10,77,77,0,350.000000,25.500000,0.000000,350.000000,25.500000,0.000000,0.109246
ObjA-78,0.003580,1,78,0.154964,6,78,78,NaN,69.000000,304.000000,5.000000,69.000000,304.000000,5.000000,0.000000
ObjA-79,0.264948,74,79,5.006579,196,79,79,0,38.905405,311.662162,7.932432,38.905405,311.662162,7.932432,2.224198
ObjA-80,1.256712,351,80,11.564283,508,80,80,0,18.905983,36.515670,1.658120,18.905983,36.515670,1.658120,2.253896
ObjA-81,0.003580,1,81,0.154964,6,81,81,NaN,13.000000,314.000000,5.000000,13.000000,314.000000,5.000000,0.000000
ObjA-82,0.100250,28,82,1.603808,82,82,82,0,146.535714,36.857143,0.071429,146.535714,36.857143,0.071429,0.690929
ObjA-83,0.007161,2,83,0.309928,12,83,83,0,164.500000,342.500000,5.000000,164.500000,342.500000,5.000000,0.154496
ObjA-84,0.057286,16,84,1.162414,52,84,84,0,290.375000,38.500000,0.187500,290.375000,38.500000,0.187500,0.546228
ObjA-85,0.021482,6,85,0.602046,26,85,85,0,290.000000,367.833333,0.000000,290.000000,367.833333,0.000000,0.436982
ObjA-86,0.232724,65,86,3.689573,152,86,86,0,152.692308,41.676923,0.953846,152.692308,41.676923,0.953846,1.139876
ObjA-87,0.007161,2,87,0.244380,10,87,87,0,309.500000,368.000000,0.000000,309.500000,368.000000,0.000000,0.109246
ObjA-88,0.064447,18,88,1.597376,64,88,88,0,110.500000,1.833333,2.000000,110.500000,1.833333,2.000000,0.692348
ObjA-89,0.007161,2,89,0.309928,12,89,89,0,214.500000,365.500000,5.500000,214.500000,365.500000,5.500000,0.337445
ObjA-90,0.050125,14,90,0.924094,46,90,90,0,285.214286,42.071429,0.000000,285.214286,42.071429,0.000000,0.588305
ObjA-91,0.297171,83,91,4.499638,164,91,91,0,165.060241,367.277108,8.409639,165.060241,367.277108,8.409639,1.832852
ObjA-92,0.347296,97,92,5.453662,216,92,92,0,279.082474,43.175258,2.597938,279.082474,43.175258,2.597938,1.651479
ObjA-93,0.007161,2,93,0.244380,10,93,93,0,324.000000,19.500000,1.000000,324.000000,19.500000,1.000000,0.109246
ObjA-94,0.007161,2,94,0.244380,10,94,94,0,314.500000,42.000000,0.000000,314.500000,42.000000,0.000000,0.109246
ObjA-95,3.401356,950,95,32.540049,1396,95,95,0,25.677895,59.928421,3.790526,25.677895,59.928421,3.790526,4.369711
ObjA-96,0.232724,65,96,3.850225,148,96,96,0,312.569231,10.307692,9.323077,312.569231,10.307692,9.323077,1.909392
ObjA-97,0.014321,4,97,0.530439,20,97,97,0,269.000000,26.250000,1.500000,269.000000,26.250000,1.500000,0.386876
ObjA-98,3.157890,882,98,29.986792,1210,98,98,0,143.863946,52.207483,7.210884,143.863946,52.207483,7.210884,4.296725
ObjA-99,0.071607,20,99,1.645114,68,99,99,0,61.050000,27.550000,2.200000,61.050000,27.550000,2.200000,1.052789
ObjA-100,0.007161,2,100,0.244380,10,100,100,0,134.500000,31.000000,6.000000,134.500000,31.000000,6.000000,0.109246
ObjA-101,0.386680,108,101,4.982710,194,101,101,0,232.324074,33.962963,9.064815,232.324074,33.962963,9.064815,1.816500
ObjA-102,0.003580,1,102,0.154964,6,102,102,NaN,307.000000,47.000000,0.000000,307.000000,47.000000,0.000000,0.000000
ObjA-103,0.068027,19,103,1.770149,68,103,103,0,17.263158,45.894737,3.052632,17.263158,45.894737,3.052632,1.262992
ObjA-104,0.100250,28,104,1.776209,72,104,104,0,162.428571,48.428571,0.821429,162.428571,48.428571,0.821429,0.717739
ObjA-105,0.236305,66,105,3.260300,130,105,105,0,123.212121,47.227273,7.878788,123.212121,47.227273,7.878788,1.322989
ObjA-106,7.937691,2217,106,66.216414,2758,106,106,0,59.789355,54.035183,6.069012,59.789355,54.035183,6.069012,5.167526
ObjA-107,0.007161,2,107,0.244380,10,107,107,0,214.000000,52.500000,6.000000,214.000000,52.500000,6.000000,0.109246
ObjA-108,0.085929,24,108,1.817887,72,108,108,0,182.041667,59.458333,6.833333,182.041667,59.458333,6.833333,0.742262
ObjA-109,0.075188,21,109,1.484090,58,109,109,0,205.809524,59.761905,6.809524,205.809524,59.761905,6.809524,0.750259
ObjA-110,0.358037,100,110,4.786440,202,110,110,0,233.140000,66.610000,2.140000,233.140000,66.610000,2.140000,1.240165
ObjA-111,0.003580,1,111,0.154964,6,111,111,NaN,71.000000,71.000000,6.000000,71.000000,71.000000,6.000000,0.000000
ObjA-112,0.347296,97,112,4.262061,186,112,112,0,162.546392,57.886598,1.123711,162.546392,57.886598,1.123711,1.371707
ObjA-113,0.021482,6,113,0.643724,26,113,113,0,24.666667,79.500000,6.666667,24.666667,79.500000,6.666667,0.386876
ObjA-114,1.979947,553,114,21.231524,878,114,114,0,249.164557,60.179024,4.909584,249.164557,60.179024,4.909584,3.845256
ObjA-115,0.648048,181,115,7.408704,296,115,115,0,58.265193,75.723757,4.994475,58.265193,75.723757,4.994475,2.156082
ObjA-116,0.003580,1,116,0.154964,6,116,116,NaN,133.000000,56.000000,0.000000,133.000000,56.000000,0.000000,0.000000
ObjA-117,0.332975,93,117,3.904024,156,117,117,0,31.333333,92.064516,3.225806,31.333333,92.064516,3.225806,1.295643
ObjA-118,0.010741,3,118,0.375475,14,118,118,0,49.000000,90.333333,1.333333,49.000000,90.333333,1.333333,0.319272
