Label,Volume (unit),Volume (pixel),Mean,SurfaceArea,surfaceAreaPxl,Min,Max,Std Deviation,X,Y,Z,Xmass,Ymass,Zmass,Feret
ObjA-1,0.691,214,1,9.167,386,1,1,0,126.673,2.701,2.598,126.673,2.701,2.598,1.930
ObjA-2,0.003,1,2,0.146,6,2,2,NaN,225.000,201.000,7.000,225.000,201.000,7.000,0.000
ObjA-3,0.090,28,3,1.964,84,3,3,0,171.893,1.179,1.393,171.893,1.179,1.393,0.912
ObjA-4,0.058,18,4,1.377,56,4,4,0,338.111,1.722,1.667,338.111,1.722,1.667,0.912
ObjA-5,0.323,100,5,5.836,262,5,5,0,179.520,8.640,1.280,179.520,8.640,1.280,1.850
ObjA-6,0.313,97,6,5.450,230,6,6,0,130.309,9.742,1.907,130.309,9.742,1.907,1.966
ObjA-7,0.003,1,7,0.146,6,7,7,NaN,198.000,9.000,0.000,198.000,9.000,0.000,0.000
ObjA-8,0.226,70,8,3.573,154,8,8,0,297.914,10.986,1.257,297.914,10.986,1.257,1.492
ObjA-9,0.081,25,9,1.794,72,9,9,0,81.840,11.800,1.560,81.840,11.800,1.560,1.257
ObjA-10,0.003,1,10,0.146,6,10,10,NaN,101.000,369.000,1.000,101.000,369.000,1.000,0.000
ObjA-11,0.003,1,11,0.146,6,11,11,NaN,330.000,2.000,2.000,330.000,2.000,2.000,0.000
ObjA-12,1.428,442,12,16.401,740,12,12,0,42.511,18.294,2.975,42.511,18.294,2.975,3.145
ObjA-13,0.624,193,13,7.905,318,13,13,0,97.223,3.197,7.073,97.223,3.197,7.073,3.217
ObjA-14,0.045,14,14,1.003,44,14,14,0,108.500,5.714,2.643,108.500,5.714,2.643,0.445
ObjA-15,0.449,139,15,7.031,320,15,15,0,276.432,27.561,1.108,276.432,27.561,1.108,2.180
ObjA-16,0.006,2,16,0.230,10,16,16,0,198.000,8.500,2.000,198.000,8.500,2.000,0.104
ObjA-17,0.006,2,17,0.230,10,17,17,0,175.000,303.500,7.000,175.000,303.500,7.000,0.104
ObjA-18,0.013,4,18,0.398,18,18,18,0,300.000,21.500,0.000,300.000,21.500,0.000,0.232
ObjA-19,0.323,100,19,4.323,182,19,19,0,266.070,346.560,10.290,266.070,346.560,10.290,1.570
ObjA-20,0.006,2,20,0.292,12,20,20,0,32.500,26.500,2.000,32.500,26.500,2.000,0.147
ObjA-21,1.335,413,21,15.274,658,21,21,0,82.753,37.199,3.191,82.753,37.199,3.191,3.391
ObjA-22,729.624,225800,22,2574.787,126832,22,22,0,170.594,187.774,6.317,170.594,187.774,6.317,40.959
ObjA-23,0.032,10,23,0.714,36,23,23,0,53.900,27.000,0.000,53.900,27.000,0.000,0.428
ObjA-24,0.120,37,24,2.567,106,24,24,0,221.757,357.108,9.135,221.757,357.108,9.135,1.307
ObjA-25,0.003,1,25,0.146,6,25,25,NaN,252.000,26.000,0.000,252.000,26.000,0.000,0.000
ObjA-26,0.023,7,26,0.709,28,26,26,0,155.714,0.143,9.000,155.714,0.143,9.000,0.635
ObjA-27,1.948,603,27,16.239,672,27,27,0,62.375,31.678,7.635,62.375,31.678,7.635,3.861
ObjA-28,0.023,7,28,0.584,24,28,28,0,323.571,9.429,8.429,323.571,9.429,8.429,0.334
ObjA-29,0.003,1,29,0.146,6,29,29,NaN,189.000,29.000,0.000,189.000,29.000,0.000,0.000
ObjA-30,0.048,15,30,1.190,50,30,30,0,319.133,91.067,2.800,319.133,91.067,2.800,0.643
ObjA-31,0.003,1,31,0.146,6,31,31,NaN,187.000,31.000,0.000,187.000,31.000,0.000,0.000
ObjA-32,0.023,7,32,0.587,28,32,32,0,191.571,35.000,0.000,191.571,35.000,0.000,0.374
ObjA-33,0.162,50,33,2.838,116,33,33,0,109.520,47.080,9.320,109.520,47.080,9.320,1.257
ObjA-34,0.023,7,34,0.752,32,34,34,0,132.000,41.286,0.286,132.000,41.286,0.286,0.379
ObjA-35,0.065,20,35,1.564,62,35,35,0,149.450,45.050,1.900,149.450,45.050,1.900,1.204
