Label;Volume (unit);Volume (pixel);Mean;SurfaceArea;surfaceAreaPxl;Min;Max;Std Deviation;X;Y;Z;Xmass;Ymass;Zmass;Feret
ObjB-1;0,118152;33;1;2,020589;82;1;1;0;96,606061;0,545455;0,69697;96,606061;0,545455;0,69697;0,818718
ObjB-2;0,114572;32;2;1,836068;84;2;2;0;159,84375;0,59375;0,3125;159,84375;0,59375;0,3125;0,98926
ObjB-3;0,250626;70;3;3,176943;130;3;3;0;205,985714;0,785714;0,957143;205,985714;0,785714;0,957143;1,201055
ObjB-4;0,09309;26;4;1,770149;68;4;4;0;229,807692;0,5;0,730769;229,807692;0,5;0,730769;0,750259
ObjB-5;0,057286;16;5;1,287449;52;5;5;0;251;0,5;0,5;251;0,5;0,5;0,717739
ObjB-6;0,408163;114;6;4,339357;182;6;6;0;271,429825;1,394737;1,026316;271,429825;1,394737;1,026316;1,350718
ObjB-7;0,150376;42;7;2,318768;100;7;7;0;334,928571;0,904762;0,452381;334,928571;0,904762;0,452381;0,980421
ObjB-8;0,225564;63;8;2,741981;118;8;8;0;343,571429;0,873016;0,761905;343,571429;0,873016;0,761905;0,98926
ObjB-9;0,390261;109;9;3,862717;170;9;9;0;192,825688;1,266055;0,87156;192,825688;1,266055;0,87156;1,257705
ObjB-10;0,243465;68;10;3,010231;130;10;10;0;242,411765;3,220588;0,75;242,411765;3,220588;0,75;0,89531
ObjB-11;0,408163;114;11;4,577677;188;11;11;0;265,403509;5,473684;1,122807;265,403509;5,473684;1,122807;1,29662
ObjB-12;0,597923;167;12;5,049372;238;12;12;0;304,928144;3,694611;0,850299;304,928144;3,694611;0,850299;1,197544
ObjB-13;0,637307;178;13;5,38354;266;13;13;0;290,780899;4,421348;0,775281;290,780899;4,421348;0,775281;1,307137
ObjB-14;0,28285;79;14;3,171255;140;14;14;0;315,164557;3,632911;0,835443;315,164557;3,632911;0,835443;1,065715
ObjB-15;0,229144;64;15;2,980301;124;15;15;0;335,890625;6,890625;0,8125;335,890625;6,890625;0,8125;0,875086
ObjB-16;0,529895;148;16;5,60974;264;16;16;0;161,209459;7,722973;0,675676;161,209459;7,722973;0,675676;1,440509
ObjB-17;0,28643;80;17;3,601271;190;17;17;0;182,475;6,7375;0,2125;182,475;6,7375;0,2125;1,221402
ObjB-18;0,028643;8;18;0,715332;32;18;18;0;205,625;7,875;0;205,625;7,875;0;0,39389
ObjB-19;0,315073;88;19;3,338339;154;19;19;0;215,75;7,931818;0,715909;215,75;7,931818;0,715909;0,875086
ObjB-20;0,29001;81;20;3,129577;140;20;20;0;47,333333;8,493827;0,790123;47,333333;8,493827;0,790123;0,915087
ObjB-21;0,483351;135;21;4,870539;230;21;21;0;188,962963;10,97037;0,688889;188,962963;10,97037;0,688889;1,360817
ObjB-22;0,046545;13;22;1,00745;46;22;22;0;355;10,076923;0,076923;355;10,076923;0,076923;0,44431
ObjB-23;0,823486;230;23;6,569081;292;23;23;0;73,213043;9,673913;1,421739;73,213043;9,673913;1,421739;1,460207
ObjB-24;0,300751;84;24;3,332279;150;24;24;0;21,738095;11,166667;0,857143;21,738095;11,166667;0,857143;1,082382
ObjB-25;0,19334;54;25;2,491541;104;25;25;0;332,37037;11,333333;0,796296;332,37037;11,333333;0,796296;0,811397
ObjB-26;0,132474;37;26;1,871686;80;26;26;0;221,621622;13,648649;0,594595;221,621622;13,648649;0,594595;0,717739
ObjB-27;0,225564;63;27;2,724172;120;27;27;0;262,52381;14,587302;0,698413;262,52381;14,587302;0,698413;0,884424
ObjB-28;0,297171;83;28;3,129577;140;28;28;0;253,228916;15,855422;0,73494;253,228916;15,855422;0,73494;0,978125
ObjB-29;0,454708;127;29;4,518562;204;29;29;0;364,472441;15,96063;0,84252;364,472441;15,96063;0,84252;1,225645
ObjB-30;0,218403;61;30;3,170883;126;30;30;0;0,803279;19,147541;1,622951;0,803279;19,147541;1,622951;1,371707
ObjB-31;0,332975;93;31;3,600528;162;31;31;0;29,55914;18,688172;0,731183;29,55914;18,688172;0,731183;1,065715
ObjB-32;0,433225;121;32;4,57236;212;32;32;0;332,92562;19,628099;0,652893;332,92562;19,628099;0,652893;1,172365
ObjB-33;0,404582;113;33;3,940385;180;33;33;0;105,893805;17,955752;0,814159;105,893805;17,955752;0,814159;1,065715
ObjB-34;0,110992;31;34;1,651175;72;34;34;0;170,064516;20,387097;0,483871;170,064516;20,387097;0,483871;0,623189
ObjB-35;0,046545;13;35;0,870296;38;35;35;0;136,153846;20,153846;0,307692;136,153846;20,153846;0,307692;0,43067
ObjB-36;0,268528;75;36;3,051909;130;36;36;0;179,16;20,173333;0,866667;179,16;20,173333;0,866667;0,990252
ObjB-37;0,311493;87;37;3,767241;162;37;37;0;242,344828;19,793103;0,977011;242,344828;19,793103;0,977011;1,104215
ObjB-38;0,544217;152;38;5,120237;216;38;38;0;234,697368;22,171053;1,368421;234,697368;22,171053;1,368421;1,435478
ObjB-39;0,279269;78;39;2,998482;136;39;39;0;213,717949;20,666667;0,679487;213,717949;20,666667;0,679487;0,875086
ObjB-40;0,451127;126;40;4,274182;194;40;40;0;20,547619;23,365079;1,055556;20,547619;23,365079;1,055556;1,172365
ObjB-41;0,651628;182;41;6,688426;302;41;41;0;154,901099;23,846154;0,901099;154,901099;23,846154;0,901099;1,638209
ObjB-42;0,970282;271;42;8,316104;386;42;42;0;256,140221;23,97048;0,937269;256,140221;23,97048;0,937269;1,73721
ObjB-43;0,264948;74;43;3,218993;144;43;43;0;98,364865;23,797297;0,689189;98,364865;23,797297;0,689189;1,186056
ObjB-44;0,207662;58;44;2,831398;122;44;44;0;135,37931;24,724138;0,758621;135,37931;24,724138;0,758621;1,006423
ObjB-45;0,812745;227;45;6,963851;360;45;45;0;194,797357;23,365639;0,590308;194,797357;23,365639;0,590308;1,467884
ObjB-46;0,275689;77;46;3,522489;138;46;46;0;340;23,961039;1,805195;340;23,961039;1,805195;1,295643
ObjB-47;0,300751;84;47;3,624397;164;47;47;0;74,940476;28,154762;0,630952;74,940476;28,154762;0,630952;0,990252
ObjB-48;0,705334;197;48;6,533834;310;48;48;0;86,57868;26,93401;0,761421;86,57868;26,93401;0,761421;1,587501
ObjB-49;0,09309;26;49;1,597376;64;49;49;0;14,307692;27,307692;0,692308;14,307692;27,307692;0,692308;0,717739
ObjB-50;0,179019;50;50;2,03877;94;50;50;0;7,24;29,8;0,5;7,24;29,8;0,5;0,660381
ObjB-51;0,365198;102;51;4,643596;204;51;51;0;109,480392;30,196078;0,784314;109,480392;30,196078;0,784314;1,415436
ObjB-52;0,533476;149;52;5,26914;218;52;52;0;223,845638;29,651007;1,369128;223,845638;29,651007;1,369128;1,406078
ObjB-53;0,587181;164;53;5,102428;218;53;53;0;348,256098;30,469512;1,286585;348,256098;30,469512;1,286585;1,274781
ObjB-54;0,461868;129;54;5,008066;252;54;54;0;315,387597;32,108527;0,48062;315,387597;32,108527;0,48062;1,5456
ObjB-55;0,28643;80;55;3,534609;146;55;55;0;55,4125;35;1,2625;55,4125;35;1,2625;1,139876
ObjB-56;0,397422;111;56;4,249941;178;56;56;0;138,846847;31,72973;1,108108;138,846847;31,72973;1,108108;1,259265
ObjB-57;0,85929;240;57;8,327481;366;57;57;0;65,279167;31,6625;1,275;65,279167;31,6625;1,275;1,626466
ObjB-58;0,730396;204;58;6,164048;286;58;58;0;266,357843;32,980392;0,946078;266,357843;32,980392;0,946078;1,414049
