Label,Volume (unit),Volume (pixel),Mean,SurfaceArea,surfaceAreaPxl,Min,Max,Std Deviation,X,Y,Z,Xmass,Ymass,Zmass,Feret
ObjA-1,0.061,19,1,1.545,64,1,1,0,446.211,162.421,7.737,446.211,162.421,7.737,1.240
ObjA-2,3164.633,979372,2,21994.879,977510,2,2,0,233.036,239.030,5.895,233.036,239.030,5.895,71.162
ObjA-3,0.003,1,3,0.146,6,3,3,NaN,300.000,165.000,5.000,300.000,165.000,5.000,0.000
ObjA-4,0.010,3,4,0.438,18,4,4,0,156.333,365.667,9.667,156.333,365.667,9.667,0.317
ObjA-5,0.003,1,5,0.146,6,5,5,NaN,115.000,369.000,9.000,115.000,369.000,9.000,0.000
ObjA-6,1.344,416,6,17.786,706,6,6,0,234.401,1.173,4.413,234.401,1.173,4.413,4.105
ObjA-7,0.052,16,7,1.046,48,7,7,0,264.250,0.688,0.312,264.250,0.688,0.312,0.445
ObjA-8,0.003,1,8,0.146,6,8,8,NaN,23.000,397.000,0.000,23.000,397.000,0.000,0.000
ObjA-9,0.003,1,9,0.146,6,9,9,NaN,293.000,0.000,0.000,293.000,0.000,0.000,0.000
ObjA-10,0.010,3,10,0.314,14,10,10,0,365.000,0.000,0.000,365.000,0.000,0.000,0.208
ObjA-11,0.006,2,11,0.230,10,11,11,0,2.000,2.500,0.000,2.000,2.500,0.000,0.104
ObjA-12,0.026,8,12,0.814,34,12,12,0,195.375,400.500,0.250,195.375,400.500,0.250,0.445
ObjA-13,0.003,1,13,0.146,6,13,13,NaN,54.000,183.000,5.000,54.000,183.000,5.000,0.000
ObjA-14,0.006,2,14,0.292,12,14,14,0,430.500,183.500,5.000,430.500,183.500,5.000,0.147
ObjA-15,0.003,1,15,0.146,6,15,15,NaN,294.000,2.000,0.000,294.000,2.000,0.000,0.000
ObjA-16,0.003,1,16,0.146,6,16,16,NaN,53.000,186.000,5.000,53.000,186.000,5.000,0.000
ObjA-17,0.039,12,17,1.003,44,17,17,0,322.333,401.167,0.500,322.333,401.167,0.500,0.553
ObjA-18,0.003,1,18,0.146,6,18,18,NaN,159.000,190.000,5.000,159.000,190.000,5.000,0.000
ObjA-19,0.003,1,19,0.146,6,19,19,NaN,483.000,401.000,0.000,483.000,401.000,0.000,0.000
ObjA-20,0.003,1,20,0.146,6,20,20,NaN,445.000,191.000,5.000,445.000,191.000,5.000,0.000
ObjA-21,0.010,3,21,0.438,18,21,21,0,85.667,4.000,0.000,85.667,4.000,0.000,0.208
ObjA-22,0.003,1,22,0.146,6,22,22,NaN,120.000,196.000,5.000,120.000,196.000,5.000,0.000
ObjA-23,0.116,36,23,2.287,114,23,23,0,18.667,406.972,0.139,18.667,406.972,0.139,1.103
ObjA-24,0.003,1,24,0.146,6,24,24,NaN,47.000,397.000,9.000,47.000,397.000,9.000,0.000
ObjA-25,0.003,1,25,0.146,6,25,25,NaN,331.000,4.000,0.000,331.000,4.000,0.000,0.000
ObjA-26,0.016,5,26,0.563,22,26,26,0,435.000,4.000,1.000,435.000,4.000,1.000,0.635
ObjA-27,0.036,11,27,0.879,40,27,27,0,379.909,404.364,0.182,379.909,404.364,0.182,0.420
ObjA-28,0.029,9,28,0.754,36,28,28,0,448.889,6.000,0.000,448.889,6.000,0.000,0.428
