Label;Volume (unit);Volume (pixel);Mean;SurfaceArea;surfaceAreaPxl;Min;Max;Std Deviation;X;Y;Z;Xmass;Ymass;Zmass;Feret
ObjB-1;0,094;29;1;1,592;76;1;1;0;476,241;5,483;0,345;476,241;5,483;0,345;0,699
ObjB-2;0,078;24;2;1,317;58;2;2;0;412,917;9,25;0,583;412,917;9,25;0,583;0,643
ObjB-3;0,013;4;3;0,335;16;3;3;0;164,5;10,5;0;164,5;10,5;0;0,147
ObjB-4;0,084;26;4;1,482;62;4;4;0;412,731;14,346;0,923;412,731;14,346;0,923;0,707
ObjB-5;0,016;5;5;0,584;24;5;5;0;285;16,4;0,4;285;16,4;0,4;0,379
ObjB-6;0,013;4;6;0,335;16;6;6;0;256,5;17,5;0;256,5;17,5;0;0,147
ObjB-7;0,01;3;7;0,314;14;7;7;0;419,333;17,333;0;419,333;17,333;0;0,147
ObjB-8;0,029;9;8;0,668;28;8;8;0;40,333;18,444;0,444;40,333;18,444;0,444;0,379
ObjB-9;0,068;21;9;1,171;52;9;9;0;382,571;18,905;0,476;382,571;18,905;0,476;0,533
ObjB-10;0,032;10;10;0,773;34;10;10;0;24,3;21,1;0,3;24,3;21,1;0,3;0,379
ObjB-11;0,039;12;11;0,752;32;11;11;0;147,5;21;0,5;147,5;21;0,5;0,379
ObjB-12;0,013;4;12;0,335;16;12;12;0;391,5;21,5;0;391,5;21,5;0;0,147
ObjB-13;0,058;18;13;1,128;48;13;13;0;129;21,833;0,611;129;21,833;0,611;0,643
ObjB-14;0,042;13;14;0,92;40;14;14;0;186,923;22,923;0,385;186,923;22,923;0,385;0,379
ObjB-15;0,042;13;15;0,96;40;15;15;0;421,077;26,615;0,692;421,077;26,615;0,692;0,618
ObjB-16;0,013;4;16;0,335;16;16;16;0;217,5;29,5;0;217,5;29,5;0;0,147
ObjB-17;0,084;26;17;1,298;60;17;17;0;237,269;32,538;0,5;237,269;32,538;0,5;0,48
ObjB-18;0,019;6;18;0,522;22;18;18;0;130,5;36,333;0,333;130,5;36,333;0,333;0,334
ObjB-19;0,026;8;19;0,668;28;19;19;0;302,875;38,25;0,375;302,875;38,25;0,375;0,379
ObjB-20;0,019;6;20;0,503;24;20;20;0;304,667;41,333;0;304,667;41,333;0;0,294
ObjB-21;0,065;20;21;1,193;54;21;21;0;85,85;42,4;0,4;85,85;42,4;0,4;0,445
ObjB-22;0,036;11;22;0,773;34;22;22;0;124,182;41,636;0,364;124,182;41,636;0,364;0,379
ObjB-23;0,026;8;23;0,668;28;23;23;0;45,625;43;0,375;45,625;43;0,375;0,379
ObjB-24;0,019;6;24;0,584;24;24;24;0;272,667;45;0,333;272,667;45;0,333;0,334
ObjB-25;0,065;20;25;1,046;48;25;25;0;210,05;46,2;0,45;210,05;46,2;0,45;0,48
ObjB-26;0,074;23;26;1,399;58;26;26;0;343,957;50,609;0,783;343,957;50,609;0,783;0,668
ObjB-27;0,032;10;27;0,752;32;27;27;0;300,5;56;0,5;300,5;56;0,5;0,379
ObjB-28;0,032;10;28;0,855;34;28;28;0;344,7;56,4;0,8;344,7;56,4;0,8;0,635
ObjB-29;0,032;10;29;0,752;32;29;29;0;71,3;56,7;0,4;71,3;56,7;0,4;0,379
ObjB-30;0,032;10;30;0,773;34;30;30;0;485;56,8;0,3;485;56,8;0,3;0,379
ObjB-31;0,052;16;31;1,106;46;31;31;0;419,312;64,062;0,688;419,312;64,062;0,688;0,643
ObjB-32;0,019;6;32;0,544;24;32;32;0;230,333;65,833;0,167;230,333;65,833;0,167;0,334
ObjB-33;0,026;8;33;0,649;30;33;33;0;152,75;69;0,125;152,75;69;0,125;0,334
ObjB-34;0,039;12;34;0,836;36;34;34;0;231,167;69,333;0,417;231,167;69,333;0,417;0,379
ObjB-35;0,065;20;35;1,274;54;35;35;0;19,05;71,4;0,65;19,05;71,4;0,65;0,684
ObjB-36;0,016;5;36;0,501;20;36;36;0;252,6;73,8;0,6;252,6;73,8;0,6;0,334
ObjB-37;0,055;17;37;1,147;46;37;37;0;131,706;74,824;0,882;131,706;74,824;0,882;0,643
ObjB-38;0,01;3;38;0,354;14;38;38;0;247;74,667;0,333;247;74,667;0,333;0,317
ObjB-39;0,026;8;39;0,69;30;39;39;0;157,25;77,875;0,25;157,25;77,875;0,25;0,365
ObjB-40;0,039;12;40;0,836;36;40;40;0;14,833;82,75;0,417;14,833;82,75;0,417;0,379
ObjB-41;0,013;4;41;0,335;16;41;41;0;346,5;84,5;0;346,5;84,5;0;0,147
ObjB-42;0,039;12;42;0,833;32;42;42;0;381,5;91,5;1;381,5;91,5;1;0,618
ObjB-43;0,019;6;43;0,584;24;43;43;0;18,833;95,167;0,333;18,833;95,167;0,333;0,365
ObjB-44;0,036;11;44;0,795;36;44;44;0;212,182;95,818;0,273;212,182;95,818;0,273;0,379
ObjB-45;0,026;8;45;0,627;28;45;45;0;447;97,5;0,25;447;97,5;0,25;0,334
ObjB-46;0,013;4;46;0,398;18;46;46;0;410,25;101;0;410,25;101;0;0,208
ObjB-47;0,129;40;47;2,194;94;47;47;0;12,875;106,625;0,675;12,875;106,625;0,675;0,82
ObjB-48;0,023;7;48;0,524;26;48;48;0;198,714;107;0;198,714;107;0;0,232
ObjB-49;0,029;9;49;0,668;28;49;49;0;217,667;112,444;0,444;217,667;112,444;0,444;0,379
ObjB-50;0,023;7;50;0,565;26;50;50;0;107,429;115;0,143;107,429;115;0,143;0,334
ObjB-51;0,042;13;51;0,778;42;51;51;0;462,615;114,538;0;462,615;114,538;0;0,44
ObjB-52;0,087;27;52;1,545;64;52;52;0;276,852;116,963;0,926;276,852;116,963;0,926;0,707
ObjB-53;0,045;14;53;0,898;38;53;53;0;403,286;118;0,5;403,286;118;0,5;0,379
ObjB-54;0,026;8;54;0,69;30;54;54;0;87,125;118,75;0,25;87,125;118,75;0,25;0,365
ObjB-55;0,055;17;55;1,085;44;55;55;0;274,412;119,882;0,824;274,412;119,882;0,824;0,643
ObjB-56;0,01;3;56;0,354;14;56;56;0;366,667;121;0,333;366,667;121;0,333;0,317
ObjB-57;0,048;15;57;1,231;50;57;57;0;422,2;120,467;1;422,2;120,467;1;0,958
ObjB-58;0,039;12;58;0,836;36;58;58;0;260,333;125;0,417;260,333;125;0,417;0,42
ObjB-59;0,042;13;59;0,857;38;59;59;0;205,846;126,769;0,385;205,846;126,769;0,385;0,379
ObjB-60;0,016;5;60;0,481;22;60;60;0;265,4;126;0;265,4;126;0;0,232
