Label;Volume (unit);Volume (pixel);Mean;SurfaceArea;surfaceAreaPxl;Min;Max;Std Deviation;X;Y;Z;Xmass;Ymass;Zmass;Feret
ObjB-1;0,045;14;1;1,171;52;1;1;0;35,429;0,214;0,214;35,429;0,214;0,214;0,726
ObjB-2;0,081;25;2;1,523;62;2;2;0;73;0,48;0,92;73;0,48;0,92;0,737
ObjB-3;0,304;94;3;4,167;194;3;3;0;84,638;1,777;0,798;84,638;1,777;0,798;1,199
ObjB-4;0,359;111;4;4,6;238;4;4;0;118,252;2,414;0,477;118,252;2,414;0,477;1,442
ObjB-5;0,068;21;5;1,487;70;5;5;0;242,286;0,667;0,19;242,286;0,667;0,19;0,889
ObjB-6;0,023;7;6;0,647;26;6;6;0;301,286;0;0,429;301,286;0;0,429;0,432
ObjB-7;0,048;15;7;1,334;52;7;7;0;307,733;0,2;0,8;307,733;0,2;0,8;0,991
ObjB-8;0,074;23;8;1,315;54;8;8;0;337,565;0,565;0,913;337,565;0,565;0,913;0,684
ObjB-9;0,048;15;9;0,924;48;9;9;0;345,733;0,867;0,067;345,733;0,867;0,067;0,523
ObjB-10;0,178;55;10;3,051;132;10;10;0;368,818;0,873;0,818;368,818;0,873;0,818;1,071
ObjB-11;0,019;6;11;0,625;24;11;11;0;401,833;0,333;0,667;401,833;0,333;0,667;0,609
ObjB-12;0,039;12;12;0,92;40;12;12;0;427,417;0,917;0,333;427,417;0,917;0,333;0,445
ObjB-13;0,107;33;13;2,234;94;13;13;0;444;0,727;0,909;444;0,727;0,909;0,965
ObjB-14;0,023;7;14;0,668;28;14;14;0;476;0,143;0,286;476;0,143;0,286;0,432
ObjB-15;0,094;29;15;1,822;86;15;15;0;266,448;2,276;0,31;266,448;2,276;0,31;0,729
ObjB-16;0,013;4;16;0,438;18;16;16;0;311,25;0,5;0,25;311,25;0,5;0,25;0,334
ObjB-17;0,045;14;17;1,003;44;17;17;0;435,714;0,714;0,357;435,714;0,714;0,357;0,48
ObjB-18;0,029;9;18;0,793;32;18;18;0;341,333;0,778;0,889;341,333;0,778;0,889;0,635
ObjB-19;0,061;19;19;1,296;56;19;19;0;399,368;1,684;0,684;399,368;1,684;0,684;0,707
ObjB-20;0,165;51;20;2,603;132;20;20;0;32,784;3,922;0,294;32,784;3,922;0,294;0,845
ObjB-21;0,255;79;21;3,444;142;21;21;0;186,139;2,342;1,456;186,139;2,342;1,456;1,044
ObjB-22;0,103;32;22;1,99;94;22;22;0;433,219;3,094;0,312;433,219;3,094;0,312;0,93
ObjB-23;0,097;30;23;1,487;70;23;23;0;26,667;3,9;0,433;26,667;3,9;0,433;0,553
ObjB-24;0,152;47;24;2,201;106;24;24;0;49,255;4,511;0,574;49,255;4,511;0,574;0,839
