Label,Volume (unit),Volume (pixel),Mean,SurfaceArea,surfaceAreaPxl,Min,Max,Std Deviation,X,Y,Z,Xmass,Ymass,Zmass,Feret
ObjA-1,0.003,1,1,0.146,6,1,1,NaN,276.000,396.000,1.000,276.000,396.000,1.000,0.000
ObjA-2,0.003,1,2,0.146,6,2,2,NaN,165.000,403.000,6.000,165.000,403.000,6.000,0.000
ObjA-3,6432.030,1990547,3,26100.799,1220938,3,3,0,251.461,239.607,6.087,251.461,239.607,6.087,71.716
ObjA-4,0.036,11,4,0.920,40,4,4,0,87.455,44.909,11.727,87.455,44.909,11.727,0.420
ObjA-5,0.003,1,5,0.146,6,5,5,NaN,171.000,407.000,1.000,171.000,407.000,1.000,0.000
ObjA-6,0.003,1,6,0.146,6,6,6,NaN,123.000,405.000,6.000,123.000,405.000,6.000,0.000
ObjA-7,0.178,55,7,3.461,136,7,7,0,18.764,408.691,9.436,18.764,408.691,9.436,1.815
ObjA-8,0.003,1,8,0.146,6,8,8,NaN,139.000,414.000,1.000,139.000,414.000,1.000,0.000
ObjA-9,0.010,3,9,0.438,18,9,9,0,332.000,64.000,11.667,332.000,64.000,11.667,0.317
ObjA-10,0.016,5,10,0.668,28,10,10,0,198.000,66.000,11.600,198.000,66.000,11.600,0.365
ObjA-11,0.055,17,11,1.214,56,11,11,0,309.000,80.706,11.706,309.000,80.706,11.706,0.523
ObjA-12,0.003,1,12,0.146,6,12,12,NaN,230.000,80.000,11.000,230.000,80.000,11.000,0.000
ObjA-13,0.003,1,13,0.146,6,13,13,NaN,215.000,444.000,6.000,215.000,444.000,6.000,0.000
ObjA-14,0.045,14,14,1.169,48,14,14,0,38.500,461.143,1.857,38.500,461.143,1.857,0.668
ObjA-15,0.003,1,15,0.146,6,15,15,NaN,23.000,453.000,6.000,23.000,453.000,6.000,0.000
ObjA-16,0.039,12,16,1.046,48,16,16,0,75.167,96.250,11.917,75.167,96.250,11.917,0.440
ObjA-17,0.003,1,17,0.146,6,17,17,NaN,104.000,457.000,6.000,104.000,457.000,6.000,0.000
ObjA-18,0.042,13,18,1.066,46,18,18,0,152.308,109.077,11.538,152.308,109.077,11.538,0.523
ObjA-19,0.019,6,19,0.668,28,19,19,0,59.167,467.667,6.667,59.167,467.667,6.667,0.379
ObjA-20,0.003,1,20,0.146,6,20,20,NaN,134.000,114.000,11.000,134.000,114.000,11.000,0.000
ObjA-21,0.003,1,21,0.146,6,21,21,NaN,133.000,116.000,11.000,133.000,116.000,11.000,0.000
ObjA-22,0.023,7,22,0.752,32,22,22,0,250.143,127.143,11.714,250.143,127.143,11.714,0.420
ObjA-23,0.003,1,23,0.146,6,23,23,NaN,255.000,35.000,2.000,255.000,35.000,2.000,0.000
ObjA-24,0.003,1,24,0.146,6,24,24,NaN,329.000,491.000,6.000,329.000,491.000,6.000,0.000
ObjA-25,0.036,11,25,0.838,40,25,25,0,245.000,135.818,11.818,245.000,135.818,11.818,0.523
ObjA-26,0.013,4,26,0.501,20,26,26,0,435.000,491.000,7.250,435.000,491.000,7.250,0.635
ObjA-27,0.003,1,27,0.146,6,27,27,NaN,134.000,6.000,7.000,134.000,6.000,7.000,0.000
ObjA-28,0.003,1,28,0.146,6,28,28,NaN,258.000,49.000,2.000,258.000,49.000,2.000,0.000
ObjA-29,0.003,1,29,0.146,6,29,29,NaN,286.000,294.000,0.000,286.000,294.000,0.000,0.000
ObjA-30,0.006,2,30,0.292,12,30,30,0,192.500,30.500,7.500,192.500,30.500,7.500,0.334
ObjA-31,0.003,1,31,0.146,6,31,31,NaN,127.000,87.000,2.000,127.000,87.000,2.000,0.000
ObjA-32,0.016,5,32,0.606,26,32,32,0,344.000,166.000,11.600,344.000,166.000,11.600,0.379
ObjA-33,0.003,1,33,0.146,6,33,33,NaN,145.000,299.000,0.000,145.000,299.000,0.000,0.000
ObjA-34,0.003,1,34,0.146,6,34,34,NaN,372.000,177.000,11.000,372.000,177.000,11.000,0.000
ObjA-35,0.003,1,35,0.146,6,35,35,NaN,44.000,178.000,11.000,44.000,178.000,11.000,0.000
ObjA-36,0.045,14,36,1.274,54,36,36,0,43.357,192.143,11.714,43.357,192.143,11.714,0.533
ObjA-37,0.003,1,37,0.146,6,37,37,NaN,151.000,164.000,2.000,151.000,164.000,2.000,0.000
ObjA-38,0.003,1,38,0.146,6,38,38,NaN,398.000,24.000,0.000,398.000,24.000,0.000,0.000
ObjA-39,0.003,1,39,0.146,6,39,39,NaN,21.000,26.000,0.000,21.000,26.000,0.000,0.000
ObjA-40,0.010,3,40,0.417,16,40,40,0,267.667,211.333,11.667,267.667,211.333,11.667,0.334
ObjA-41,0.003,1,41,0.146,6,41,41,NaN,471.000,28.000,0.000,471.000,28.000,0.000,0.000
ObjA-42,0.003,1,42,0.146,6,42,42,NaN,335.000,269.000,11.000,335.000,269.000,11.000,0.000
ObjA-43,0.032,10,43,0.814,34,43,43,0,404.100,309.200,0.400,404.100,309.200,0.400,0.379
ObjA-44,0.003,1,44,0.146,6,44,44,NaN,10.000,311.000,2.000,10.000,311.000,2.000,0.000
ObjA-45,0.003,1,45,0.146,6,45,45,NaN,400.000,313.000,2.000,400.000,313.000,2.000,0.000
ObjA-46,0.003,1,46,0.146,6,46,46,NaN,349.000,320.000,2.000,349.000,320.000,2.000,0.000
ObjA-47,0.029,9,47,0.711,32,47,47,0,308.889,313.778,0.222,308.889,313.778,0.222,0.379
ObjA-48,0.003,1,48,0.146,6,48,48,NaN,270.000,340.000,2.000,270.000,340.000,2.000,0.000
ObjA-49,0.003,1,49,0.146,6,49,49,NaN,194.000,179.000,7.000,194.000,179.000,7.000,0.000
ObjA-50,0.010,3,50,0.354,14,50,50,0,403.667,352.000,11.333,403.667,352.000,11.333,0.317
ObjA-51,0.006,2,51,0.230,10,51,51,0,189.500,364.000,11.000,189.500,364.000,11.000,0.104
ObjA-52,0.006,2,52,0.230,10,52,52,0,329.000,318.500,0.000,329.000,318.500,0.000,0.104
ObjA-53,0.006,2,53,0.292,12,53,53,0,348.500,380.500,11.500,348.500,380.500,11.500,0.334
ObjA-54,0.003,1,54,0.146,6,54,54,NaN,330.000,388.000,11.000,330.000,388.000,11.000,0.000
ObjA-55,0.045,14,55,1.001,40,55,55,0,166.500,402.429,3.071,166.500,402.429,3.071,0.643
ObjA-56,0.006,2,56,0.292,12,56,56,0,308.500,394.000,11.500,308.500,394.000,11.500,0.317
ObjA-57,0.003,1,57,0.146,6,57,57,NaN,293.000,408.000,2.000,293.000,408.000,2.000,0.000
ObjA-58,0.010,3,58,0.438,18,58,58,0,37.000,420.333,11.667,37.000,420.333,11.667,0.365
ObjA-59,0.013,4,59,0.501,20,59,59,0,81.750,427.000,2.500,81.750,427.000,2.500,0.379
ObjA-60,0.010,3,60,0.376,16,60,60,0,186.667,444.667,2.333,186.667,444.667,2.333,0.334
ObjA-61,0.010,3,61,0.376,16,61,61,0,111.667,449.667,2.333,111.667,449.667,2.333,0.334
ObjA-62,0.003,1,62,0.146,6,62,62,NaN,119.000,310.000,7.000,119.000,310.000,7.000,0.000
ObjA-63,0.039,12,63,0.982,42,63,63,0,242.000,446.667,11.500,242.000,446.667,11.500,0.445
ObjA-64,0.701,217,64,8.496,388,64,64,0,325.512,321.106,10.903,325.512,321.106,10.903,1.746
ObjA-65,0.006,2,65,0.292,12,65,65,0,474.500,461.500,11.500,474.500,461.500,11.500,0.334
ObjA-66,0.013,4,66,0.417,16,66,66,0,481.500,461.000,11.500,481.500,461.000,11.500,0.317
ObjA-67,0.003,1,67,0.146,6,67,67,NaN,88.000,337.000,7.000,88.000,337.000,7.000,0.000
ObjA-68,0.065,20,68,1.171,52,68,68,0,454.300,483.050,11.500,454.300,483.050,11.500,0.523
ObjA-69,0.010,3,69,0.314,14,69,69,0,262.333,50.667,0.000,262.333,50.667,0.000,0.147
ObjA-70,0.003,1,70,0.146,6,70,70,NaN,409.000,5.000,12.000,409.000,5.000,12.000,0.000
ObjA-71,0.003,1,71,0.146,6,71,71,NaN,376.000,50.000,0.000,376.000,50.000,0.000,0.000
ObjA-72,0.003,1,72,0.146,6,72,72,NaN,5.000,327.000,0.000,5.000,327.000,0.000,0.000
ObjA-73,0.003,1,73,0.146,6,73,73,NaN,422.000,350.000,7.000,422.000,350.000,7.000,0.000
ObjA-74,0.003,1,74,0.146,6,74,74,NaN,403.000,13.000,12.000,403.000,13.000,12.000,0.000
ObjA-75,0.013,4,75,0.460,20,75,75,0,262.500,53.500,0.250,262.500,53.500,0.250,0.334
ObjA-76,0.003,1,76,0.146,6,76,76,NaN,405.000,14.000,12.000,405.000,14.000,12.000,0.000
ObjA-77,0.003,1,77,0.146,6,77,77,NaN,401.000,16.000,12.000,401.000,16.000,12.000,0.000
ObjA-78,0.003,1,78,0.146,6,78,78,NaN,485.000,22.000,12.000,485.000,22.000,12.000,0.000
ObjA-79,0.006,2,79,0.230,10,79,79,0,264.000,24.500,12.000,264.000,24.500,12.000,0.104
ObjA-80,0.003,1,80,0.146,6,80,80,NaN,136.000,329.000,0.000,136.000,329.000,0.000,0.000
ObjA-81,0.003,1,81,0.146,6,81,81,NaN,336.000,33.000,12.000,336.000,33.000,12.000,0.000
ObjA-82,0.003,1,82,0.146,6,82,82,NaN,403.000,42.000,12.000,403.000,42.000,12.000,0.000
ObjA-83,0.003,1,83,0.146,6,83,83,NaN,11.000,378.000,7.000,11.000,378.000,7.000,0.000
ObjA-84,0.003,1,84,0.146,6,84,84,NaN,269.000,57.000,3.000,269.000,57.000,3.000,0.000
ObjA-85,0.003,1,85,0.146,6,85,85,NaN,98.000,47.000,12.000,98.000,47.000,12.000,0.000
ObjA-86,0.039,12,86,0.939,38,86,86,0,135.500,331.750,1.000,135.500,331.750,1.000,0.618
ObjA-87,0.003,1,87,0.146,6,87,87,NaN,137.000,48.000,12.000,137.000,48.000,12.000,0.000
ObjA-88,0.003,1,88,0.146,6,88,88,NaN,267.000,59.000,3.000,267.000,59.000,3.000,0.000
ObjA-89,0.003,1,89,0.146,6,89,89,NaN,91.000,51.000,12.000,91.000,51.000,12.000,0.000
ObjA-90,0.003,1,90,0.146,6,90,90,NaN,368.000,55.000,12.000,368.000,55.000,12.000,0.000
ObjA-91,0.003,1,91,0.146,6,91,91,NaN,350.000,58.000,12.000,350.000,58.000,12.000,0.000
ObjA-92,0.003,1,92,0.146,6,92,92,NaN,183.000,60.000,12.000,183.000,60.000,12.000,0.000
ObjA-93,0.003,1,93,0.146,6,93,93,NaN,0.000,401.000,7.000,0.000,401.000,7.000,0.000
ObjA-94,0.003,1,94,0.146,6,94,94,NaN,313.000,81.000,12.000,313.000,81.000,12.000,0.000
ObjA-95,0.003,1,95,0.146,6,95,95,NaN,316.000,75.000,3.000,316.000,75.000,3.000,0.000
ObjA-96,0.010,3,96,0.314,14,96,96,0,233.000,86.000,12.000,233.000,86.000,12.000,0.208
ObjA-97,0.003,1,97,0.146,6,97,97,NaN,138.000,87.000,3.000,138.000,87.000,3.000,0.000
ObjA-98,0.003,1,98,0.146,6,98,98,NaN,110.000,95.000,12.000,110.000,95.000,12.000,0.000
ObjA-99,0.010,3,99,0.314,14,99,99,0,80.000,96.000,12.000,80.000,96.000,12.000,0.208
ObjA-100,0.003,1,100,0.146,6,100,100,NaN,247.000,412.000,7.000,247.000,412.000,7.000,0.000
ObjA-101,0.003,1,101,0.146,6,101,101,NaN,58.000,100.000,12.000,58.000,100.000,12.000,0.000
