Label,Volume (unit),Volume (pixel),Mean,SurfaceArea,surfaceAreaPxl,Min,Max,Std Deviation,X,Y,Z,Xmass,Ymass,Zmass,Feret
ObjA-1,0.003,1,1,0.146,6,1,1,NaN,56.000,192.000,5.000,56.000,192.000,5.000,0.000
ObjA-2,5907.275,1828149,2,26471.395,1228600,2,2,0,246.014,245.711,6.105,246.014,245.711,6.105,71.349
ObjA-3,0.003,1,3,0.146,6,3,3,NaN,366.000,157.000,12.000,366.000,157.000,12.000,0.000
ObjA-4,0.094,29,4,1.739,82,4,4,0,7.345,1.103,0.310,7.345,1.103,0.310,0.793
ObjA-5,0.003,1,5,0.146,6,5,5,NaN,4.000,159.000,12.000,4.000,159.000,12.000,0.000
ObjA-6,0.026,8,6,0.608,30,6,6,0,16.375,0.375,0.000,16.375,0.375,0.000,0.428
ObjA-7,0.003,1,7,0.146,6,7,7,NaN,28.000,159.000,12.000,28.000,159.000,12.000,0.000
ObjA-8,0.013,4,8,0.438,18,8,8,0,17.750,278.750,8.500,17.750,278.750,8.500,0.334
ObjA-9,0.003,1,9,0.146,6,9,9,NaN,42.000,164.000,12.000,42.000,164.000,12.000,0.000
ObjA-10,0.003,1,10,0.146,6,10,10,NaN,7.000,165.000,12.000,7.000,165.000,12.000,0.000
ObjA-11,0.003,1,11,0.146,6,11,11,NaN,93.000,168.000,12.000,93.000,168.000,12.000,0.000
ObjA-12,0.003,1,12,0.146,6,12,12,NaN,10.000,285.000,8.000,10.000,285.000,8.000,0.000
ObjA-13,0.006,2,13,0.292,12,13,13,0,39.000,222.500,1.500,39.000,222.500,1.500,0.317
ObjA-14,0.006,2,14,0.292,12,14,14,0,7.500,227.000,1.500,7.500,227.000,1.500,0.317
ObjA-15,0.003,1,15,0.146,6,15,15,NaN,0.000,186.000,12.000,0.000,186.000,12.000,0.000
ObjA-16,0.003,1,16,0.146,6,16,16,NaN,115.000,273.000,0.000,115.000,273.000,0.000,0.000
ObjA-17,0.003,1,17,0.146,6,17,17,NaN,452.000,234.000,1.000,452.000,234.000,1.000,0.000
ObjA-18,0.003,1,18,0.146,6,18,18,NaN,481.000,187.000,12.000,481.000,187.000,12.000,0.000
ObjA-19,0.003,1,19,0.146,6,19,19,NaN,0.000,188.000,12.000,0.000,188.000,12.000,0.000
ObjA-20,0.006,2,20,0.230,10,20,20,0,112.500,274.000,0.000,112.500,274.000,0.000,0.104
ObjA-21,2.155,667,21,23.032,1004,21,21,0,9.952,258.132,9.624,9.952,258.132,9.624,2.678
