Label,Volume (unit),Volume (pixel),Mean,SurfaceArea,surfaceAreaPxl,Min,Max,Std Deviation,X,Y,Z,Xmass,Ymass,Zmass,Feret
ObjA-1,37.228,11521,1,223.743,9826,1,1,0,68.909,40.539,4.445,68.909,40.539,4.445,16.085
ObjA-2,34.620,10714,2,169.829,7664,2,2,0,205.912,48.598,4.946,205.912,48.598,4.946,12.621
ObjA-3,0.721,223,3,9.538,428,3,3,0,250.502,3.027,1.596,250.502,3.027,1.596,2.276
ObjA-4,3.512,1087,4,33.037,1464,4,4,0,277.873,19.521,2.006,277.873,19.521,2.006,5.267
ObjA-5,0.023,7,5,0.647,26,5,5,0,205.429,0.429,1.143,205.429,0.429,1.143,0.618
ObjA-6,1.024,317,6,11.002,458,6,6,0,419.451,7.826,3.536,419.451,7.826,3.536,2.444
ObjA-7,0.123,38,7,2.653,114,7,7,0,7.289,9.421,1.816,7.289,9.421,1.816,1.085
ObjA-8,0.078,24,8,2.048,88,8,8,0,241.833,11.208,1.000,241.833,11.208,1.000,1.075
ObjA-9,0.013,4,9,0.501,20,9,9,0,88.750,9.250,1.250,88.750,9.250,1.250,0.618
ObjA-10,0.682,211,10,7.505,330,10,10,0,191.246,15.607,1.526,191.246,15.607,1.526,1.911
ObjA-11,0.036,11,11,1.044,44,11,11,0,256.091,14.818,0.818,256.091,14.818,0.818,0.668
ObjA-12,0.003,1,12,0.146,6,12,12,NaN,248.000,18.000,0.000,248.000,18.000,0.000,0.000
ObjA-13,0.006,2,13,0.292,12,13,13,0,234.500,19.500,0.000,234.500,19.500,0.000,0.147
ObjA-14,0.814,252,14,11.421,478,14,14,0,17.560,20.710,3.242,17.560,20.710,3.242,2.152
ObjA-15,0.326,101,15,4.761,200,15,15,0,77.010,24.564,1.782,77.010,24.564,1.782,1.824
ObjA-16,0.339,105,16,5.434,236,16,16,0,151.590,30.810,1.267,151.590,30.810,1.267,1.845
ObjA-17,0.643,199,17,10.474,462,17,17,0,247.070,34.623,1.055,247.070,34.623,1.055,2.160
ObjA-18,0.048,15,18,1.399,58,18,18,0,400.200,29.200,0.867,400.200,29.200,0.867,1.013
ObjA-19,0.362,112,19,7.848,324,19,19,0,457.188,33.759,2.804,457.188,33.759,2.804,2.247
ObjA-20,2.714,840,20,24.443,1048,20,20,0,373.336,34.373,3.517,373.336,34.373,3.517,3.290
ObjA-21,0.003,1,21,0.146,6,21,21,NaN,380.000,31.000,0.000,380.000,31.000,0.000,0.000
ObjA-22,0.249,77,22,4.366,186,22,22,0,189.351,33.935,1.299,189.351,33.935,1.299,1.330
ObjA-23,0.003,1,23,0.146,6,23,23,NaN,194.000,32.000,0.000,194.000,32.000,0.000,0.000
ObjA-24,0.346,107,24,4.761,200,24,24,0,199.944,30.019,3.262,199.944,30.019,3.262,2.125
ObjA-25,0.003,1,25,0.146,6,25,25,NaN,401.000,34.000,0.000,401.000,34.000,0.000,0.000
ObjA-26,0.310,96,26,4.512,192,26,26,0,5.375,38.719,1.948,5.375,38.719,1.948,1.307
ObjA-27,0.003,1,27,0.146,6,27,27,NaN,401.000,36.000,0.000,401.000,36.000,0.000,0.000
ObjA-28,0.029,9,28,1.023,42,28,28,0,434.778,36.667,1.444,434.778,36.667,1.444,0.947
ObjA-29,0.029,9,29,1.001,40,29,29,0,15.778,40.000,1.222,15.778,40.000,1.222,0.635
ObjA-30,0.003,1,30,0.146,6,30,30,NaN,267.000,40.000,0.000,267.000,40.000,0.000,0.000
ObjA-31,0.197,61,31,3.027,126,31,31,0,148.082,44.541,1.574,148.082,44.541,1.574,1.085
ObjA-32,2.549,789,32,34.458,1456,32,32,0,477.549,57.588,3.352,477.549,57.588,3.352,3.309
ObjA-33,1.703,527,33,22.091,962,33,33,0,145.973,60.507,2.903,145.973,60.507,2.903,4.169
ObjA-34,4.553,1409,34,29.220,1276,34,34,0,7.573,59.596,4.971,7.573,59.596,4.971,3.698
ObjA-35,0.055,17,35,1.878,76,35,35,0,18.647,54.588,2.059,18.647,54.588,2.059,1.532
ObjA-36,0.010,3,36,0.438,18,36,36,0,382.000,58.333,0.000,382.000,58.333,0.000,0.208
ObjA-37,0.048,15,37,1.293,52,37,37,0,387.800,60.800,0.800,387.800,60.800,0.800,0.643
ObjA-38,11.503,3560,38,53.847,2462,38,38,0,86.668,75.765,4.796,86.668,75.765,4.796,4.767
ObjA-39,0.003,1,39,0.146,6,39,39,NaN,390.000,64.000,0.000,390.000,64.000,0.000,0.000
ObjA-40,286.072,88532,40,934.312,46386,40,40,0,251.835,199.466,4.917,251.835,199.466,4.917,30.674
ObjA-41,0.769,238,41,10.733,452,41,41,0,68.450,67.630,2.651,68.450,67.630,2.651,2.169
ObjA-42,0.084,26,42,1.858,78,42,42,0,285.885,68.462,2.269,285.885,68.462,2.269,1.287
ObjA-43,3.936,1218,43,34.570,1542,43,43,0,395.255,71.464,3.512,395.255,71.464,3.512,5.057
ObjA-44,0.003,1,44,0.146,6,44,44,NaN,481.000,71.000,0.000,481.000,71.000,0.000,0.000
ObjA-45,0.003,1,45,0.146,6,45,45,NaN,248.000,72.000,0.000,248.000,72.000,0.000,0.000
ObjA-46,0.233,72,46,5.427,224,46,46,0,439.181,73.653,3.167,439.181,73.653,3.167,2.244
ObjA-47,0.158,49,47,3.508,148,47,47,0,181.245,72.041,2.469,181.245,72.041,2.469,1.229
ObjA-48,0.029,9,48,1.085,44,48,48,0,482.667,75.222,0.333,482.667,75.222,0.333,0.445
ObjA-49,0.023,7,49,0.752,32,49,49,0,478.286,76.571,1.143,478.286,76.571,1.143,0.643
ObjA-50,0.013,4,50,0.541,20,50,50,0,334.250,77.250,0.750,334.250,77.250,0.750,0.618
ObjA-51,0.003,1,51,0.146,6,51,51,NaN,413.000,81.000,0.000,413.000,81.000,0.000,0.000
ObjA-52,0.065,20,52,2.026,86,52,52,0,411.000,83.100,1.100,411.000,83.100,1.100,1.013
ObjA-53,0.003,1,53,0.146,6,53,53,NaN,475.000,82.000,0.000,475.000,82.000,0.000,0.000
ObjA-54,0.084,26,54,2.131,92,54,54,0,419.385,85.846,0.731,419.385,85.846,0.731,1.161
ObjA-55,0.023,7,55,0.647,26,55,55,0,461.571,86.143,0.571,461.571,86.143,0.571,0.379
ObjA-56,0.588,182,56,9.059,376,56,56,0,233.390,95.165,2.181,233.390,95.165,2.181,2.426
ObjA-57,22.480,6957,57,130.683,5856,57,57,0,42.230,130.446,4.317,42.230,130.446,4.317,8.775
ObjA-58,0.006,2,58,0.271,10,58,58,0,418.000,94.000,0.500,418.000,94.000,0.500,0.300
ObjA-59,0.003,1,59,0.146,6,59,59,NaN,472.000,94.000,0.000,472.000,94.000,0.000,0.000
ObjA-60,0.026,8,60,1.044,44,60,60,0,484.750,96.500,1.375,484.750,96.500,1.375,1.044
ObjA-61,0.036,11,61,1.209,48,61,61,0,391.364,97.545,1.818,391.364,97.545,1.818,0.924
ObjA-62,0.003,1,62,0.146,6,62,62,NaN,434.000,100.000,0.000,434.000,100.000,0.000,0.000
ObjA-63,0.026,8,63,0.855,34,63,63,0,400.625,103.750,1.375,400.625,103.750,1.375,0.643
ObjA-64,0.023,7,64,0.836,36,64,64,0,150.429,106.571,1.714,150.429,106.571,1.714,0.929
ObjA-65,0.058,18,65,1.439,58,65,65,0,397.722,110.222,0.778,397.722,110.222,0.778,0.730
ObjA-66,0.003,1,66,0.146,6,66,66,NaN,404.000,108.000,0.000,404.000,108.000,0.000,0.000
ObjA-67,0.019,6,67,0.647,26,67,67,0,390.167,109.500,0.667,390.167,109.500,0.667,0.379
ObjA-68,0.003,1,68,0.146,6,68,68,NaN,467.000,109.000,0.000,467.000,109.000,0.000,0.000
ObjA-69,0.003,1,69,0.146,6,69,69,NaN,411.000,110.000,0.000,411.000,110.000,0.000,0.000
ObjA-70,0.572,177,70,9.562,400,70,70,0,445.638,110.316,2.853,445.638,110.316,2.853,2.453
ObjA-71,0.003,1,71,0.146,6,71,71,NaN,148.000,113.000,0.000,148.000,113.000,0.000,0.000
ObjA-72,0.006,2,72,0.292,12,72,72,0,151.500,116.500,0.000,151.500,116.500,0.000,0.147
ObjA-73,5.235,1620,73,45.981,2038,73,73,0,110.434,107.208,5.566,110.434,107.208,5.566,4.723
ObjA-74,0.953,295,74,9.842,426,74,74,0,332.207,124.146,2.702,332.207,124.146,2.702,2.211
ObjA-75,0.003,1,75,0.146,6,75,75,NaN,463.000,122.000,0.000,463.000,122.000,0.000,0.000
ObjA-76,0.281,87,76,4.256,172,76,76,0,72.080,121.575,3.759,72.080,121.575,3.759,2.141
ObjA-77,0.003,1,77,0.146,6,77,77,NaN,109.000,128.000,0.000,109.000,128.000,0.000,0.000
ObjA-78,0.013,4,78,0.584,24,78,78,0,446.750,145.500,0.250,446.750,145.500,0.250,0.432
ObjA-79,4.789,1482,79,38.812,1656,79,79,0,457.037,150.725,4.773,457.037,150.725,4.773,3.979
ObjA-80,0.123,38,80,2.383,104,80,80,0,214.132,148.447,0.921,214.132,148.447,0.921,0.889
ObjA-81,0.701,217,81,9.447,412,81,81,0,54.406,155.230,3.539,54.406,155.230,3.539,1.952
ObjA-82,0.010,3,82,0.376,16,82,82,0,1.333,158.333,0.667,1.333,158.333,0.667,0.334
ObjA-83,0.317,98,83,5.618,238,83,83,0,219.031,161.184,1.367,219.031,161.184,1.367,1.389
ObjA-84,0.003,1,84,0.146,6,84,84,NaN,160.000,173.000,0.000,160.000,173.000,0.000,0.000
ObjA-85,0.433,134,85,8.219,332,85,85,0,451.552,176.306,4.127,451.552,176.306,4.127,2.726
ObjA-86,0.016,5,86,0.584,24,86,86,0,446.400,179.200,0.400,446.400,179.200,0.400,0.379
ObjA-87,0.003,1,87,0.146,6,87,87,NaN,449.000,178.000,0.000,449.000,178.000,0.000,0.000
ObjA-88,0.559,173,88,6.054,252,88,88,0,86.636,190.179,2.861,86.636,190.179,2.861,1.847
ObjA-89,0.003,1,89,0.146,6,89,89,NaN,264.000,189.000,0.000,264.000,189.000,0.000,0.000
ObjA-90,2.627,813,90,23.763,1000,90,90,0,47.469,199.663,3.637,47.469,199.663,3.637,3.886
ObjA-91,1.671,517,91,14.730,634,91,91,0,105.576,212.035,3.217,105.576,212.035,3.217,2.380
ObjA-92,0.013,4,92,0.563,22,92,92,0,450.500,214.000,0.500,450.500,214.000,0.500,0.365
ObjA-93,0.184,57,93,3.300,140,93,93,0,19.105,216.070,1.333,19.105,216.070,1.333,1.085
ObjA-94,0.010,3,94,0.354,14,94,94,0,180.000,219.333,0.333,180.000,219.333,0.333,0.317
ObjA-95,1.364,422,95,18.392,766,95,95,0,3.782,220.645,5.569,3.782,220.645,5.569,3.868
