Label,Volume (unit),Volume (pixel),Mean,SurfaceArea,surfaceAreaPxl,Min,Max,Std Deviation,X,Y,Z,Xmass,Ymass,Zmass,Feret
ObjA-1,1042.355,322582,1,4392.786,206222,1,1,0,209.681,247.737,6.266,209.681,247.737,6.266,57.929
ObjA-2,0.052,16,2,1.027,50,2,2,0,150.438,445.938,0.188,150.438,445.938,0.188,0.432
ObjA-3,47.409,14672,3,295.198,13590,3,3,0,304.214,50.421,5.781,304.214,50.421,5.781,12.102
ObjA-4,0.090,28,4,2.002,80,4,4,0,342.536,444.393,1.964,342.536,444.393,1.964,1.274
ObjA-5,3.054,945,5,27.776,1244,5,5,0,365.860,6.884,2.481,365.860,6.884,2.481,5.019
ObjA-6,0.003,1,6,0.146,6,6,6,NaN,44.000,59.000,5.000,44.000,59.000,5.000,0.000
ObjA-7,0.003,1,7,0.146,6,7,7,NaN,213.000,151.000,9.000,213.000,151.000,9.000,0.000
ObjA-8,86.337,26719,8,472.412,21728,8,8,0,444.388,87.526,5.753,444.388,87.526,5.753,27.107
ObjA-9,0.659,204,9,8.851,368,9,9,0,212.623,2.926,5.662,212.623,2.926,5.662,2.804
ObjA-10,0.110,34,10,1.880,80,10,10,0,12.382,449.706,1.029,12.382,449.706,1.029,0.997
ObjA-11,0.006,2,11,0.230,10,11,11,0,113.000,452.500,0.000,113.000,452.500,0.000,0.104
ObjA-12,0.090,28,12,1.525,66,12,12,0,358.464,453.571,0.643,358.464,453.571,0.643,0.668
ObjA-13,0.003,1,13,0.146,6,13,13,NaN,274.000,80.000,5.000,274.000,80.000,5.000,0.000
ObjA-14,0.032,10,14,0.793,32,14,14,0,302.500,81.300,6.300,302.500,81.300,6.300,0.618
ObjA-15,1.936,599,15,17.428,790,15,15,0,25.985,14.304,1.982,25.985,14.304,1.982,3.762
ObjA-16,0.003,1,16,0.146,6,16,16,NaN,269.000,457.000,0.000,269.000,457.000,0.000,0.000
ObjA-17,34.064,10542,17,198.597,8898,17,17,0,362.216,477.631,4.691,362.216,477.631,4.691,9.867
ObjA-18,0.081,25,18,1.631,72,18,18,0,236.240,12.400,0.520,236.240,12.400,0.520,0.737
ObjA-19,0.052,16,19,1.355,54,19,19,0,323.625,458.750,0.812,323.625,458.750,0.812,0.759
