Label,Volume (unit),Volume (pixel),Mean,SurfaceArea,surfaceAreaPxl,Min,Max,Std Deviation,X,Y,Z,Xmass,Ymass,Zmass,Feret
ObjA-1,0.003,1,1,0.146,6,1,1,NaN,234.000,194.000,3.000,234.000,194.000,3.000,0.000
ObjA-2,35.182,10888,2,191.581,9226,2,2,0,39.307,34.869,4.743,39.307,34.869,4.743,15.110
ObjA-3,1.842,570,3,17.380,812,3,3,0,88.067,8.877,1.356,88.067,8.877,1.356,3.048
ObjA-4,0.006,2,4,0.230,10,4,4,0,341.000,480.500,10.000,341.000,480.500,10.000,0.104
ObjA-5,0.879,272,5,10.987,434,5,5,0,443.982,1.066,6.938,443.982,1.066,6.938,3.928
ObjA-6,0.003,1,6,0.146,6,6,6,NaN,485.000,0.000,0.000,485.000,0.000,0.000,0.000
ObjA-7,0.032,10,7,0.752,32,7,7,0,464.000,7.400,11.600,464.000,7.400,11.600,0.379
ObjA-8,5.529,1711,8,35.466,1576,8,8,0,4.680,16.981,3.740,4.680,16.981,3.740,4.761
ObjA-9,0.013,4,9,0.563,22,9,9,0,52.250,15.750,11.750,52.250,15.750,11.750,0.365
ObjA-10,0.905,280,10,9.507,410,10,10,0,459.489,5.593,3.732,459.489,5.593,3.732,2.594
ObjA-11,1.852,573,11,25.208,1032,11,11,0,479.527,20.773,6.501,479.527,20.773,6.501,4.283
ObjA-12,0.094,29,12,1.775,74,12,12,0,197.517,13.379,0.793,197.517,13.379,0.793,0.737
ObjA-13,0.194,60,13,3.283,146,13,13,0,70.550,15.783,0.983,70.550,15.783,0.983,1.314
ObjA-14,4.702,1455,14,33.569,1536,14,14,0,382.496,33.854,5.063,382.496,33.854,5.063,5.697
ObjA-15,0.019,6,15,0.503,24,15,15,0,354.167,15.000,0.000,354.167,15.000,0.000,0.294
ObjA-16,0.003,1,16,0.146,6,16,16,NaN,462.000,16.000,0.000,462.000,16.000,0.000,0.000
ObjA-17,1184.328,366519,17,3781.902,188200,17,17,0,282.748,272.007,6.019,282.748,272.007,6.019,57.188
ObjA-18,63.731,19723,18,269.435,12722,18,18,0,122.953,48.600,6.059,122.953,48.600,6.059,12.672
ObjA-19,0.003,1,19,0.146,6,19,19,NaN,172.000,80.000,11.000,172.000,80.000,11.000,0.000
ObjA-20,0.003,1,20,0.146,6,20,20,NaN,195.000,21.000,0.000,195.000,21.000,0.000,0.000
ObjA-21,0.036,11,21,0.795,36,21,21,0,371.182,95.182,11.727,371.182,95.182,11.727,0.379
ObjA-22,0.116,36,22,2.098,104,22,22,0,168.500,99.611,11.778,168.500,99.611,11.778,0.790
ObjA-23,0.168,52,23,3.163,150,23,23,0,197.288,29.154,0.423,197.288,29.154,0.423,1.417
ObjA-24,6.165,1908,24,44.505,2022,24,24,0,279.524,24.064,5.411,279.524,24.064,5.411,5.392
