Label,Volume (unit),Volume (pixel),Mean,SurfaceArea,surfaceAreaPxl,Min,Max,Std Deviation,X,Y,Z,Xmass,Ymass,Zmass,Feret
ObjA-1,720.509,222979,1,2641.531,129270,1,1,0,280.771,243.370,6.178,280.771,243.370,6.178,61.808
ObjA-2,0.178,55,2,2.696,118,2,2,0,401.909,2.527,0.891,401.909,2.527,0.891,0.889
ObjA-3,0.003,1,3,0.146,6,3,3,NaN,12.000,453.000,2.000,12.000,453.000,2.000,0.000
ObjA-4,0.145,45,4,2.172,92,4,4,0,351.178,124.133,11.000,351.178,124.133,11.000,0.929
ObjA-5,0.003,1,5,0.146,6,5,5,NaN,186.000,15.000,0.000,186.000,15.000,0.000,0.000
ObjA-6,0.365,113,6,4.454,198,6,6,0,240.602,23.389,1.743,240.602,23.389,1.743,1.535
ObjA-7,0.908,281,7,8.760,386,7,7,0,61.609,26.438,2.502,61.609,26.438,2.502,2.091
ObjA-8,0.013,4,8,0.438,18,8,8,0,283.250,33.250,3.750,283.250,33.250,3.750,0.317
ObjA-9,0.003,1,9,0.146,6,9,9,NaN,162.000,43.000,3.000,162.000,43.000,3.000,0.000
ObjA-10,1.157,358,10,13.482,590,10,10,0,332.846,38.201,3.690,332.846,38.201,3.690,4.049
ObjA-11,28.901,8944,11,185.193,8890,11,11,0,155.253,51.203,8.475,155.253,51.203,8.475,11.790
ObjA-12,0.003,1,12,0.146,6,12,12,NaN,135.000,28.000,0.000,135.000,28.000,0.000,0.000
ObjA-13,0.630,195,13,6.437,280,13,13,0,199.938,45.938,1.985,199.938,45.938,1.985,1.842
ObjA-14,113.748,35202,14,520.650,24002,14,14,0,37.829,153.765,6.045,37.829,153.765,6.045,20.823
ObjA-15,0.013,4,15,0.460,20,15,15,0,91.250,157.750,9.500,91.250,157.750,9.500,0.379
ObjA-16,0.068,21,16,1.193,54,16,16,0,342.619,59.095,0.429,342.619,59.095,0.429,0.523
ObjA-17,0.100,31,17,1.652,74,17,17,0,265.806,61.613,0.613,265.806,61.613,0.613,0.684
ObjA-18,0.323,100,18,4.327,190,18,18,0,464.120,66.760,1.790,464.120,66.760,1.790,1.746
ObjA-19,0.029,9,19,0.668,28,19,19,0,164.556,67.333,0.556,164.556,67.333,0.556,0.379
ObjA-20,0.236,73,20,3.453,158,20,20,0,451.205,69.315,0.712,451.205,69.315,0.712,0.965
ObjA-21,0.003,1,21,0.146,6,21,21,NaN,70.000,120.000,3.000,70.000,120.000,3.000,0.000
ObjA-22,0.052,16,22,1.068,50,22,22,0,174.250,71.000,0.250,174.250,71.000,0.250,0.523
ObjA-23,0.087,27,23,1.631,72,23,23,0,324.667,119.926,4.444,324.667,119.926,4.444,0.912
ObjA-24,0.003,1,24,0.146,6,24,24,NaN,70.000,122.000,3.000,70.000,122.000,3.000,0.000
ObjA-25,0.672,208,25,7.098,296,25,25,0,331.380,85.139,2.394,331.380,85.139,2.394,2.172
ObjA-26,0.010,3,26,0.376,16,26,26,0,330.667,124.333,3.333,330.667,124.333,3.333,0.334
ObjA-27,0.016,5,27,0.584,24,27,27,0,41.200,85.400,1.200,41.200,85.400,1.200,0.609
ObjA-28,0.003,1,28,0.146,6,28,28,NaN,10.000,140.000,3.000,10.000,140.000,3.000,0.000
ObjA-29,0.333,103,29,3.853,180,29,29,0,426.155,90.641,1.155,426.155,90.641,1.155,1.414
ObjA-30,0.126,39,30,2.565,102,30,30,0,404.615,158.641,5.436,404.615,158.641,5.436,1.570
ObjA-31,0.061,19,31,1.585,64,31,31,0,12.316,291.368,9.947,12.316,291.368,9.947,1.013
ObjA-32,0.394,122,32,4.507,184,32,32,0,357.893,96.566,2.361,357.893,96.566,2.361,1.617
ObjA-33,0.452,140,33,4.521,208,33,33,0,29.671,314.729,10.750,29.671,314.729,10.750,1.211
